investigacion,area_principal,categoria,institucion
281785,significant,issue,8523345384913
500440,article,up,1494712327170
819390,fight,month,6643343537520
718771,value,realize,4633626198984
960095,according,need,3485088322151
95535,worker,trouble,252943492699
5112,enjoy,prove,6662172475161
731843,meeting,draw,8533024440188
449629,president,daughter,9015685149871
958836,time,wonder,1829389046588
478307,civil,sport,7428017954400
217792,value,vote,6129038727129
990989,real,large,9799167434069
790072,account,actually,5939943016311
687831,open,city,3274910405998
104206,use,issue,4779180774608
840743,popular,particular,7168390291549
925535,important,people,3896039414226
34243,school,try,9462168950476
196323,research,table,7575809533292
621749,pressure,billion,2637331625611
612927,heavy,activity,5859357546822
216826,few,open,2679344235751
983853,case,lead,3424358834468
101483,could,black,2313011171877
15583,school,mind,5105243479142
56501,reason,natural,8248779959818
448664,statement,heavy,1454198504270
257606,sign,over,7340463420900
717069,attorney,entire,5917009092832
577774,accept,sell,5342901624287
214067,term,study,575892708965
877439,drug,energy,6883883651699
4094,middle,subject,5597943846446
1376,above,four,5606433157401
954605,middle,weight,4887879332008
244001,threat,collection,8234775745392
200628,manage,care,646365193337
393996,religious,miss,301629615772
753511,until,road,3444662863845
575232,begin,charge,1414064245403
785597,listen,else,6430833110740
411613,debate,surface,5206059202140
59075,war,cold,6148034106264
666595,take,all,9769649607233
989196,ahead,prevent,1863012532461
131119,time,report,644302508925
555879,right,everybody,4825075322225
816928,management,reason,4634745672710
665572,their,very,1476812530191
991399,kitchen,natural,3091572281113
976970,throw,scientist,6229887594980
830609,not,rise,3560218581130
24488,nor,form,5216255366311
580687,high,improve,6459907330284
184218,enjoy,recently,2000667727589
621898,military,feel,7975593103582
839037,job,put,2585589132311
506964,follow,college,4142956763932
321422,good,table,3286195999584
468277,hope,hot,3036921676997
77655,which,someone,2804162630156
288569,chance,value,8138529558771
284932,again,position,5678027282997
764304,total,example,3716265020003
804053,weight,inside,7984305403947
284094,produce,house,1798542177171
575488,simply,outside,2706950660855
325708,rather,region,6707982472698
358426,stand,interview,9457595266911
725408,tell,likely,6197467305161
988915,stuff,prove,9020262136996
917116,dark,difference,8555274746756
872935,candidate,memory,9664691034009
999144,herself,write,6908420199087
759335,author,career,8335257890544
616445,hard,dark,1495304002476
431076,face,focus,8507761951740
839256,approach,mean,3362443187757
4356,oil,television,1883164948402
981220,over,pattern,4481795089731
246846,hand,type,1275848246123
697802,role,because,9915366740097
676991,professor,decade,5448553379275
886019,general,glass,2868533119025
121425,through,board,9311288172721
773276,amount,issue,6664842687210
397825,hope,agreement,2029381149353
389569,million,hard,5717645116473
263855,hair,customer,8222451757883
483325,unit,movie,421668967864
12883,marriage,practice,5685519844953
404386,go,indicate,3819267764176
47300,toward,direction,1445708389946
77421,guy,throw,8301278704906
345846,movement,focus,5133535494202
35110,conference,office,1601026406774
944437,technology,voice,2864545508374
903114,according,performance,6364077055867
156451,rise,your,8771939482601
267701,down,pattern,3277317551828
813840,because,court,4388234104060
100476,much,phone,3055215584528
792994,probably,job,6343419496208
796965,his,notice,2577801843509
260688,strong,mind,3283777520776
719166,win,theory,6972433465068
57709,theory,so,6769116965195
294815,radio,one,8290546142381
475697,other,run,3611060217019
948048,amount,up,95032708626
568953,contain,site,2144534715446
556695,movement,option,3574010410132
292262,father,she,2790301292734
574147,character,usually,630211258628
46709,program,whatever,4019559236880
750425,bar,manager,9794771602842
399597,her,cultural,7454096957593
17605,it,nature,2063667184341
452992,fish,culture,8625514896307
796208,west,final,9887622887688
367297,traditional,skin,3798608567701
390888,single,build,9874358101757
290494,newspaper,chair,3058362212646
828751,enter,unit,8888890171680
571134,how,off,7008612502590
763101,serve,Republican,4024278552873
803633,any,professor,1392485854793
211534,least,may,933212143559
943362,general,term,3720637602761
946221,audience,guy,6238786624134
57287,Congress,goal,3728115257734
666089,sing,say,1297975291429
914269,agree,clearly,1709890355106
624128,power,job,3302272914948
314935,stuff,four,9194200795233
520145,might,together,6139583261837
964419,contain,eat,9690790095043
754847,situation,song,7601711550528
823500,region,tough,752432710734
488240,deep,news,1221272832261
245710,less,as,7578341400777
796737,not,policy,1176015762455
948316,special,worry,4563016894743
837603,hold,talk,9531664723108
396580,us,build,9215657589259
828758,paper,meet,4412941047498
936086,side,day,1590857899058
311105,long,involve,2520068335612
531258,ball,result,4233365378969
358139,hard,resource,5571438123845
295095,all,property,5995168409293
533075,hospital,work,1077913035602
440670,enjoy,different,9137037446340
594548,wind,see,1204408436933
323226,business,heart,1793314480457
447369,well,work,2645434987833
745919,city,public,7506804915330
788043,through,feel,912427650144
648079,arrive,month,5818169649733
578187,entire,from,3901421942320
184698,by,have,9701726709057
505575,floor,develop,6976272440892
235727,once,environment,395367337185
538068,trade,future,3984903005042
992394,blood,those,2312100607204
785178,television,scientist,6174605480399
288474,attention,factor,754400775866
882636,report,avoid,2409846950015
171343,rise,thank,8098976767250
418738,former,very,3117495639760
648582,small,half,7373432239095
345539,prepare,sport,3750123873575
523399,toward,fact,942840834379
577963,paper,interest,4536422345102
394867,outside,minute,5339594513088
218091,keep,attention,2604649674590
730461,off,far,2316646381115
758567,soon,though,1583208457560
933908,reveal,base,3398235697376
491126,expert,protect,8031474955879
486813,suffer,simple,916547822346
769529,generation,light,3388302424689
792930,rule,read,290173349417
205536,wear,front,1972855570918
495184,station,which,1855144478358
658412,pick,agree,2468464052173
945548,worker,sense,2734301112362
95769,according,grow,2136925045033
54739,talk,could,6857873279946
412756,myself,size,7098377000803
990647,close,discuss,2964999467217
680073,on,finally,7721854993084
