id_antecedentes,id_docentes,nombre_cargo,funcion,reparticion,fecha_inicio,fecha_fin
8657640,98566310,"Therapist, speech and language",Parent office message reflect require keep.,10,2008-05-27,2014-12-30
5770393,26233320,Charity fundraiser,Against believe throughout factor draw.,5,2000-12-22,2021-10-19
11042641,394212,Purchasing manager,Reach future color.,3,1999-10-22,2002-09-18
20485523,74332755,Higher education careers adviser,Night page list because.,3,1971-04-09,1980-11-03
79212065,83405550,Leisure centre manager,Policy end throughout argue.,2,2010-08-06,2014-10-06
6682741,14580750,Site engineer,Behavior affect usually garden rest process.,4,2017-04-17,2022-12-27
62414738,82093528,Chiropractor,Every bad what everything tonight.,4,2001-08-18,2014-09-13
24648675,52971001,Energy manager,Government agency attorney determine traditional recent loss.,3,1971-08-19,2015-01-12
20472160,45392499,Emergency planning/management officer,Shake west black deal although brother.,3,1986-01-20,2018-05-03
65427440,39469641,Food technologist,Leg career professor field purpose toward carry week.,4,2008-02-23,2018-05-25
93259572,55802236,"Editor, commissioning",Industry feel good they sport class rest dinner.,7,1995-07-25,2009-01-18
28002996,66910546,IT consultant,Last catch similar southern Congress same down training.,5,2023-09-20,2023-10-12
6476697,7408971,Textile designer,His society also suggest.,6,2003-04-11,2010-11-24
94552782,49350747,Financial risk analyst,Clear break Democrat through collection.,3,2018-05-09,2021-03-23
99480815,62853978,Sports administrator,Beat choice all.,1,2003-02-18,2014-09-11
8111896,63696871,Retail banker,Common indeed security society interesting according next.,1,1972-12-23,1980-04-25
25143346,81309291,Web designer,Local chance who inside realize capital fly.,1,1981-02-24,2015-02-09
91957666,98333776,"Teacher, music",Describe thought chair provide.,10,2006-05-25,2016-11-06
58232195,33236323,"Psychologist, clinical",Month name subject also.,4,2012-02-29,2023-10-14
95725577,27581898,Control and instrumentation engineer,Eye baby seven.,8,2000-07-31,2003-02-17
11811067,65356668,"Engineer, maintenance (IT)",Billion role appear page once down alone child.,5,2003-09-15,2007-02-09
39489347,25162724,Textile designer,Which laugh city scientist within but.,10,1999-06-26,2011-05-18
72115350,35539034,Geophysicist/field seismologist,Blood follow piece side indeed factor attorney.,9,2023-11-04,2024-02-19
81822752,50197791,Restaurant manager,Occur mission bed inside include space.,1,1974-11-21,2022-11-24
68977970,82810427,Clothing/textile technologist,Consider add strong spend significant business high.,4,1986-11-22,1993-06-15
62088606,32231122,Commissioning editor,A then cover forget forward.,4,1975-11-11,2015-02-15
3405106,67102062,Public librarian,Down fact sing.,7,1988-04-11,1992-10-23
50678152,83765496,"Engineer, technical sales",Responsibility sound area discover.,5,2013-11-22,2016-02-09
52846453,83272221,Aeronautical engineer,Say instead give several.,7,1987-04-04,2005-04-18
78424250,74500901,"Development worker, international aid",Prepare first take her.,4,1975-06-13,1989-11-06
60502116,35677280,Telecommunications researcher,With purpose peace value.,3,2000-11-29,2008-10-08
78932283,36540875,IT consultant,High other evening drive Mrs already minute.,1,1979-08-07,2001-03-13
61738481,55936913,Insurance account manager,Get community event home very.,2,2002-12-15,2024-05-17
68445632,42511099,Actor,Meet voice second building.,9,1984-12-16,2020-12-02
42689647,85212438,"Scientist, physiological",School business politics.,2,2000-08-01,2022-12-26
26035097,90131018,"Buyer, retail",Program anything machine administration difference claim buy.,2,2006-06-09,2013-12-09
90124505,42953059,Art therapist,Door together fall around security fall.,10,2006-07-06,2018-04-07
63357349,83422336,"Administrator, education",High toward gun dream instead decide.,6,2016-09-17,2022-03-14
9648391,32174743,Administrator,Trial thing believe save girl owner.,6,2017-03-06,2021-12-03
2572970,38303247,Chief Financial Officer,If me pick thing draw role.,1,1978-03-10,1993-04-17
41025452,74408530,Charity officer,Teach stage company dark.,2,1976-02-22,1987-12-23
54240823,13604825,Tourism officer,Field gun bed.,10,2006-07-14,2015-12-10
5635569,18219406,Chiropractor,Environmental road nearly grow major else.,6,2012-06-09,2023-01-21
75595664,39906050,Careers information officer,Remain usually center election their.,8,2005-06-28,2009-01-26
31669007,77503181,Translator,Southern base degree human rock sound.,8,1987-04-21,2004-02-13
24067887,95667820,Museum/gallery conservator,Skill mission during avoid.,1,2007-08-27,2021-07-31
2765496,57552452,Office manager,Later always treatment political give order walk.,2,1970-07-29,2022-11-18
3937772,55005425,Television production assistant,Fine how suddenly buy sport cause receive.,5,2016-03-02,2024-03-08
47012373,45639608,Production engineer,Serve sure control take far doctor.,10,1996-10-14,2023-01-03
38777201,70600478,Theatre stage manager,Defense foreign candidate training instead ever team Mr.,9,1980-11-11,2018-06-15
34390261,77575267,Civil Service administrator,Window man attention significant.,7,1973-06-04,2024-05-28
31296364,74056809,Wellsite geologist,Just skill story issue police.,1,2002-09-18,2010-07-15
46892496,14836505,Product/process development scientist,War care spend house together allow.,2,2003-10-01,2004-02-23
11310370,3544921,Restaurant manager,Deal create cup act store offer million.,5,1978-01-18,2013-09-04
98570400,48474432,Chief Financial Officer,Point in maybe already game.,6,2009-11-05,2010-04-03
49503320,19548556,Clothing/textile technologist,The central tell someone.,1,1986-07-21,1989-04-07
5459646,58664292,"Designer, ceramics/pottery",System develop along happen medical family student.,2,2013-07-12,2022-02-25
26676467,93925557,"Producer, television/film/video",Party issue couple page seem.,8,2024-06-18,2024-06-25
23052507,11921824,"Exhibitions officer, museum/gallery",Relate what him.,7,1985-09-26,1986-09-22
3690809,55963524,Town planner,Foreign I each fish under more catch.,2,1988-12-13,1992-04-03
97462758,34002494,Pensions consultant,Item bar often.,9,1970-10-25,2015-07-11
39792919,35480243,Contractor,Long herself democratic treat require traditional about.,8,1981-01-15,1998-01-02
69296826,44112632,Air cabin crew,Explain moment work capital person thousand week.,3,2020-03-24,2023-09-16
