id_antecedentes,materia,id_corresponde
52807860,space,7726160994357
73012404,do,7770572347205
51075278,himself,9184582798273
21639173,measure,9662500349525
51499219,treat,6324633291118
72068759,realize,8181828709073
83658326,we,8846049176213
2504477,star,8456802625431
36727108,capital,4627029405274
85421684,east,3901494980189
36228441,break,4531772494646
70345309,western,2763691629487
66203655,us,9837672013920
71114271,cup,4997714696486
7246195,worry,7808001730913
79542943,six,1359183364566
52567027,either,45019740871
56883870,major,212598679484
20447463,teach,1316937975692
19889269,plan,2021291644709
62793712,big,6080652541873
66588982,career,7548063329279
126037,add,5974070304927
15877838,should,9944621422722
63542524,short,4263774021569
49552631,me,3119438210838
65116542,scientist,5054385582065
42604199,party,6661148176871
23558969,point,4318199330428
64532582,local,7705540633754
12314986,only,745907968667
72529124,effect,7963697849900
78601774,college,9920456747632
32485425,bank,5262899269161
72806789,fill,757522272575
24435563,other,1453651010225
97304404,own,9722859551437
55614723,hold,4667602117280
58801572,include,74378785340
12368083,month,8101725838062
96612074,small,1409778937998
51729001,product,5476254785849
5734297,accept,9585522808020
61083174,heart,5555245219897
48031323,pretty,1236158877031
2058246,series,6193860095034
1911944,building,7561704170156
70774713,amount,4736789446639
44352140,guess,4366954674799
10709368,car,4963910206915
16934878,fund,9786966767665
21896706,player,498735032920
66769728,treatment,4539535903980
99649584,affect,1307705647270
87783304,others,6603002037778
80280487,your,7788469061998
4952187,rule,5477940059397
18837968,though,3173514032643
36672082,commercial,4795018881757
91596042,senior,2999344782046
35078161,moment,4284539397604
69604676,push,4981549473309
54158578,voice,3235112778448
7081495,here,5702284396246
84782062,own,3724473868476
49035834,drug,5183208791241
77083965,tough,1657202431837
8829958,left,9169177563183
50057664,American,2169639410457
83068541,word,8613709379449
75668468,want,9055348445364
63470106,require,6397125540752
17249727,doctor,8078977964876
29180895,statement,8515952955991
56261394,cell,1739513094075
51094369,case,3505469433973
58062357,opportunity,2761348790897
65092209,former,1018410709435
61172688,thank,8908139609058
51645442,response,8460454621200
21445243,involve,8439265797992
87157862,argue,167186105986
71637215,phone,1775569532931
65380948,begin,6958456554060
90796981,heavy,8759208267148
58041506,especially,7049175309716
75803067,break,2647180075032
70951798,short,9161444816167
81445818,protect,457237422237
40567659,among,5214041009828
98861988,human,6309757959423
85707096,two,1639135742815
68254891,who,1126142882222
59778905,consumer,8900450129163
59178538,see,6091098705972
87431682,PM,590070633586
49971746,probably,9969239187588
92009114,want,2949662719319
57787805,study,1481212513233
12074251,sound,8508342171373
67182077,letter,4173857886878
78999085,business,3854727359683
16567686,boy,5306779180340
1105808,sing,7242745054171
90036319,happy,6154534605564
60731889,necessary,836013676020
57299761,never,293648082121
87359184,probably,3859201332096
16599860,control,8181828709073
67360745,measure,6665785367256
14565788,response,5508937583389
31961072,turn,6574243993945
69823914,think,7735094235714
38925063,foot,4470281178714
39000569,hear,6986530397661
21420311,himself,8766244446119
75087999,bad,3169680223891
27100685,memory,1219838240209
36888703,management,2482866397761
80018618,relationship,5515369301092
74971675,just,9732198516696
98186900,charge,7119225568231
27662082,success,3841365775171
68055113,career,1705286251262
1630083,could,1433577746521
30878631,concern,2561018549556
97188426,perhaps,8565544514183
80350532,according,6390273390184
80616512,style,4572737257091
84148830,my,9875561649996
4235672,alone,2985992209321
72197679,outside,7466749087628
50576276,offer,6235072152311
10784871,raise,2810884895570
82966613,key,7785968026241
61690576,person,2152830167442
79507931,daughter,6799521575526
83886115,save,9231290438936
65842288,he,1855144478358
69208084,meeting,3522573207193
36405721,ago,8569358238254
46858411,great,5855581488856
59254453,avoid,8252660682222
48457213,process,6424638987286
79102221,major,9812813202002
74235980,dark,5688165805549
59076747,garden,1442304034913
94428753,sing,6839859210875
55455794,key,107427039236
65543502,environmental,6681042303707
38190602,large,4863779095839
18580608,former,7742182871146
60118112,everything,3566413938816
2016512,commercial,1481212513233
23981788,glass,1030050679249
86348710,history,7700488167909
15682472,future,4562367059816
20111341,against,8949793913565
34526969,tonight,7192515468008
52014681,news,4296668166827
15269906,large,2975604110435
40867009,campaign,6105659496536
27218487,court,9849590794946
47702008,government,1577677762790
29805421,edge,748902726337
45012634,small,9748891222243
15030075,happen,395367337185
28417710,bad,9310608137958
79737117,force,4304946355057
57263113,would,1476200766242
76492847,how,6874193342510
79782157,reason,283603850207
6720017,late,4204707635482
52438625,surface,8682187680074
76262050,majority,6110529310042
7632720,have,4572737257091
87937842,past,3257307651326
39069282,bar,5714029416086
23976540,society,8757513566486
6844916,worker,6520829537637
72806789,bar,9856520099186
95046726,agent,8488222450979
55640695,back,6355602716836
9464941,party,6518599354269
52981348,they,6141293858415
32148317,else,9707050602081
18058679,catch,7995146856483
13738800,nature,9599241271120
75926615,show,7946307101684
65543232,book,2832974269912
64029949,sing,7650613719696
78397841,throw,6105116429496
65082671,prove,8678553605360
39403039,list,47355657475
1105808,much,4251130283648
68430538,conference,7784639214223
85701287,responsibility,1694707093977
67750192,success,1307147105540
6229576,just,1464261120967
17586562,our,8248054334152
96224169,themselves,8886358973130
94172977,after,6553780979044
92881001,when,4096776093049
69978592,woman,8362603927714
60330953,so,6169688713339
51401622,decision,7760933206514
66899382,table,8028473416125
54515140,someone,3368101788809
32148317,analysis,6640021725086
93988020,market,1808532461979
4544022,question,8891369566447
41798518,present,7396656174883
31024726,security,5091752633882
1116475,success,6583076956464
92693546,land,1366821807348
70648560,time,6026259167530
79189806,necessary,4766822015629
91703190,both,7143955032648
63396411,idea,3498355342053
45412764,travel,2722275082027
26326513,across,2437927172929
20439853,buy,9615262994013
84414658,scene,4204707635482
72083023,entire,9445130673209
64308427,sing,6667013498281
24716421,actually,4602317228645
24107372,little,7539056347015
829880,ten,9339999422477
38681523,need,9617882648943
81885219,society,9050373147216
95755092,design,298085893653
7217822,soldier,7642551260520
96748094,across,2042080170090
72720991,stock,8832489548328
57381826,tonight,7903816097576
73828501,local,5926295907162
65071369,myself,8952171933334
88826422,fear,9799981225370
46334121,position,397477164936
93436153,director,1160479620327
40949116,director,3705996995791
47753589,yes,4692948303894
56962771,center,2679344235751
92504213,easy,3570490773907
70509724,sell,2975673475201
74834495,bank,4233365378969
18734518,use,5051338392402
55238874,least,390214910866
33096250,north,7414755398939
45679537,box,5936074791829
20371361,nice,1510311071954
90036319,practice,3891717438367
10618518,hope,8549160976107
7514145,answer,9593186150967
58040193,produce,8111594139421
21665062,agreement,3859801513057
11536487,far,3720354645673
69653694,start,7065489502595
41379982,wife,4135624563186
47432705,professor,9878651548877
4729229,off,9345754647768
75114717,strong,8540257825297
99698307,billion,6413312802506
41355620,enter,4974218060905
27239172,than,8335702052361
84408788,continue,3117168781273
56922364,doctor,2559765011147
13037653,necessary,6250121197432
86284652,quality,4214640591569
40290386,work,8147698025875
19991225,building,1245474959984
1911944,seat,2231838272390
45906950,deep,7762716808772
91372757,affect,1863541275495
73755643,entire,2627632738202
50434419,officer,7837593019641
5121713,pattern,5455895874755
7312640,others,6474246073282
63542524,where,3505469433973
57128485,behind,3810346326057
10346089,common,3598940738047
85317242,series,2006176996804
21520030,beat,8846666136584
76046255,long,2803329504983
94009855,will,9026842257130
78212501,strategy,9385994615934
90900921,pretty,8453236651832
5187738,again,7275178862690
98057659,perform,4469531529702
9225224,cup,1896029784169
75629477,move,7735629453832
4120613,state,9682298121219
47702008,war,5688165805549
7436193,keep,8775228430746
76281306,spend,3771088305744
22565093,four,1003428161128
38592122,during,7234014211335
53288843,rather,5527244449889
34074345,focus,6363505426809
77981978,but,4639816610864
92953971,process,8398243846558
79036478,through,2100014097718
14157795,mention,1571765798298
93719170,significant,2746005215791
68744033,PM,8606041835603
13776400,bag,8806824890869
6104634,will,3805287482908
22373911,while,656929023843
75819945,western,5107792609177
328942,movement,1610180832465
55987974,wait,2954345823429
76845286,fight,6235944400010
76204051,sister,6212083689011
18779921,get,7145784746491
17579000,beyond,4878544133153
194969,phone,3810346326057
90856428,quickly,5688165805549
69452370,surface,894430631882
42023083,worker,7278326007030
43109091,full,9689251326768
29389739,from,2554258565815
18137565,large,4651558290435
19110774,place,1302852518719
99385301,heart,8388850373355
92630622,interview,1584791166760
63537298,everybody,7582420826727
57855045,college,8995499951673
63509019,own,8258463369772
64512829,account,2725974683296
70773623,central,3263323200361
74592314,service,8016882662906
26866506,go,5596162330454
32551719,interest,530947344453
54728422,role,2854939847563
70878159,truth,9835911728382
95370758,until,3604580885777
33680528,some,3924563161742
50501558,Congress,7693839497055
60362875,hear,9547792292692
56190644,data,6800844166878
99188113,hour,9362806714581
77927024,nothing,6824849083878
7457379,yourself,7596859435986
78601438,worker,4278563866549
57638671,husband,4715826103325
90869015,already,980375561547
26846477,population,7925609346623
27010698,must,4215989123479
48939020,all,4632807573671
98992136,open,8042781779075
44217060,everything,4222260184495
27487469,almost,9427802134963
52982488,level,9946188399298
2262217,pull,2879473103622
4534441,response,1159311003756
15229785,already,2266494358899
85435694,baby,4198863296215
75176507,create,7758694285598
72189486,improve,8189663980291
35805059,behind,1584399138859
34511617,dream,8122506537093
45297136,high,5727435996423
77174037,it,6986924397247
69469550,seem,6618512866155
73418219,police,7259793457096
59587429,let,306335001806
67324697,identify,6242463285257
70239548,away,8565544514183
42408649,day,9959404255245
6215996,third,8800485086114
49662906,reality,97288335230
32113901,month,2297605341841
36461464,sell,419083567820
48196624,including,1956165877976
62730724,behind,6275037949880
60693743,state,8065469268695
65737861,call,797496977900
42892270,half,1031509319252
56952850,great,7974087646207
61131722,own,1050182384499
5148042,machine,734012188675
27365407,evening,4122466758571
88671268,sign,4397676610491
6872261,trade,4454728093214
45731034,senior,2332959932003
38699862,near,7474751189077
