id_antecedentes,tipo_act,id_corresponde
40367638,Metallurgist,2136938784768
65971992,Horticultural consultant,6735548484895
27010698,Automotive engineer,4709003449626
74286213,Chiropractor,1469155455913
28448222,Environmental education officer,2737274524150
36959928,"Psychotherapist, dance movement",3486457301082
56046824,Medical secretary,7838026683943
85500106,Clinical psychologist,5309698545916
61044486,Airline pilot,6712453393655
22959227,Education administrator,6503234322318
71377704,Ecologist,93329003842
43838854,Exercise physiologist,1622122899733
17040833,Advertising copywriter,6736520921786
26527291,Metallurgist,7736206923717
58825589,Editorial assistant,5438985158540
81167247,Psychotherapist,8807944167363
26037440,Advertising art director,1478108507197
42880569,"Accountant, chartered public finance",4376846129220
57072843,Ophthalmologist,2763431677453
59755599,Accommodation manager,7798102243804
33416015,Editorial assistant,3471599350554
65717405,Media buyer,3806329933610
1070131,Immigration officer,4397676610491
79408608,Artist,7192085605656
11835545,"Engineer, electronics",930124576313
39783896,Mental health nurse,5413462268964
42629322,"Teacher, primary school",1307344870588
99454777,"Psychologist, counselling",4285016668386
56034987,Television floor manager,8585183057847
94995728,Educational psychologist,7541594067393
96078374,"Librarian, academic",3589223287684
20450331,"Designer, interior/spatial",7861047384502
11828932,Building services engineer,6976272440892
52654568,IT sales professional,6046230101961
76093708,Sports administrator,5091813746219
54158578,Claims inspector/assessor,8778539202894
39059279,"Scientist, forensic",9284025470773
84681316,Secondary school teacher,7624760033177
58076166,Education administrator,8957568067550
50462978,Patent examiner,7300833328994
45942462,Control and instrumentation engineer,686373445649
50045903,Information systems manager,1703783584407
60223494,Sports administrator,8159477763429
30233467,Insurance risk surveyor,3135172058001
1249801,Theatre manager,584561952389
36107898,Environmental education officer,2325361227151
10159706,"Editor, film/video",2590264673399
79583310,Operations geologist,4495110548572
56544885,Land/geomatics surveyor,6993587863313
80481409,Artist,7699303343818
74325083,Environmental education officer,9373208666337
39522204,"Engineer, maintenance (IT)",9925726225823
34346569,Editorial assistant,5502221419999
77413884,Herpetologist,5623954505325
60223494,"Editor, magazine features",4015320084173
40305427,"Psychologist, prison and probation services",1810345155586
25306853,Photographer,3838065968567
39052162,Retail manager,1625358164985
7456055,Museum/gallery exhibitions officer,7119225568231
99845728,Fisheries officer,6270267782206
59205495,Forest/woodland manager,177077991553
