curso_Conf,legajo,desde,hasta
base,28796400,1997-09-19,2019-04-24
ready,55109268,2013-11-06,2020-05-19
message,81696281,2017-06-18,2022-10-08
hospital,55757088,1990-07-06,1998-12-17
teach,93035720,2005-04-14,2019-01-29
second,65882981,1980-10-11,2004-06-01
memory,13016803,2012-07-23,2019-10-27
medical,45009478,1991-11-04,2014-10-28
yard,78028169,2005-08-18,2023-11-02
team,60238525,1991-01-16,2011-09-02
condition,41727747,1977-11-16,1990-12-13
free,6301668,1972-09-25,1977-03-13
major,20513434,2002-07-13,2007-08-13
imagine,77876030,1999-11-24,2021-05-18
college,2024689,2005-03-01,2020-03-15
over,93413304,1981-02-25,1982-07-16
herself,62971156,1982-03-19,2008-04-27
hope,87042748,2001-07-10,2006-06-12
technology,53535863,1987-01-21,1994-03-04
all,43195122,1974-07-05,2019-09-26
inside,27751418,2005-05-10,2020-05-30
house,16486403,1991-08-21,2011-10-20
growth,14210719,2004-01-16,2005-06-20
our,96332053,1983-06-07,2023-09-20
person,89260854,2023-04-27,2024-06-01
alone,76582387,1991-12-18,2021-07-18
well,24469302,2022-10-03,2024-05-06
leader,27827495,2010-12-24,2022-05-19
level,7438588,2019-12-04,2020-11-19
international,97681918,1986-08-02,1999-04-25
affect,13846541,2021-08-18,2024-02-10
kid,22826402,2016-05-01,2021-10-25
know,53798014,1997-06-12,2016-08-15
police,31816212,1988-01-09,1994-02-21
data,32323421,1981-06-28,1983-12-27
field,5010234,2009-10-26,2018-09-27
at,80691935,1988-05-30,2023-02-14
why,28853209,1976-06-13,2017-02-15
well,76060163,2015-05-28,2020-09-16
dog,50455100,2010-08-24,2013-11-29
by,50730531,2010-04-13,2018-10-09
coach,19033381,1978-05-22,1991-04-09
this,77648895,1972-06-13,1985-04-21
accept,91737893,2021-08-10,2023-01-25
radio,78338856,2011-11-23,2015-06-27
benefit,11793114,2011-06-07,2024-06-03
toward,9020518,1978-05-08,1990-10-17
nice,6913723,1978-04-20,1994-11-11
artist,80314501,1983-02-07,2000-04-12
tree,90050669,2022-09-08,2024-02-16
hotel,38877627,1979-12-16,1982-10-21
power,43506182,2014-08-11,2022-04-17
upon,38346567,2018-04-28,2023-02-02
number,21608521,2008-03-15,2022-10-16
surface,12881090,2017-11-02,2019-12-01
series,88307374,1971-12-29,2001-12-20
return,75652927,1999-09-03,2000-04-26
general,39609875,2023-01-26,2023-02-15
discussion,51730822,2020-01-11,2021-02-22
level,66842578,2001-05-26,2008-08-23
camera,26730153,1995-01-26,2016-12-12
bank,9326413,1982-03-05,1986-06-02
explain,36617013,1994-08-21,2022-03-09
week,83805975,1973-06-25,1976-09-27
manager,98198516,1998-08-09,2021-02-19
people,47359261,1990-07-18,2017-06-21
card,67297336,2021-07-21,2022-04-28
nearly,45543897,2010-07-04,2018-05-12
I,61639572,2014-09-06,2017-07-25
money,35254345,2000-03-10,2016-11-12
team,15237118,1998-06-06,2001-12-16
mother,19555861,1985-02-05,2006-02-26
care,68056116,1993-09-07,2003-09-29
natural,95717930,1990-04-26,1993-06-29
carry,45956904,1978-06-19,2018-09-09
he,98497323,1971-07-10,1999-10-10
professor,27670337,2000-12-24,2017-08-26
buy,83036285,2018-06-26,2022-09-15
pretty,74929641,1976-03-08,1976-08-30
piece,9399842,2002-09-28,2016-09-07
sign,82260654,1979-09-10,2003-10-30
certainly,60519979,2002-11-13,2016-05-17
building,41114295,1990-03-31,2004-07-02
serve,90159797,1992-03-15,1993-03-21
marriage,66295197,1988-08-30,2007-06-12
its,24627028,1995-11-08,2003-07-09
hear,73065205,1992-08-24,1999-12-02
goal,23298832,1988-04-03,2020-02-28
white,35382142,2010-01-27,2013-02-10
big,68647258,2002-12-05,2021-08-10
economic,93353791,1971-06-13,1982-03-22
police,14792046,1983-03-13,2009-11-19
meeting,36796045,1990-10-07,2000-06-24
stand,58177921,2000-02-11,2011-04-12
citizen,11804930,2018-10-07,2023-09-18
find,34685889,1996-01-27,2011-07-08
age,95992828,1975-12-23,1977-12-28
thousand,88050200,2007-03-16,2020-11-16
purpose,43525771,2009-08-30,2010-04-13
theory,8262115,1977-01-24,2023-06-04
both,25733898,2001-09-18,2005-04-16
its,90751964,1988-07-14,2014-06-10
occur,36042694,2010-07-06,2014-07-10
operation,41503765,1990-02-25,2016-03-18
rather,15809200,2004-11-12,2006-08-06
side,26539708,2012-05-04,2013-03-03
hair,83483242,1980-09-25,2010-04-15
wish,75854053,2007-11-18,2020-05-25
foreign,81832949,1999-10-25,2003-05-30
you,11799089,2023-10-03,2024-06-03
stand,22520221,2008-09-02,2014-06-05
debate,17529997,1978-05-21,2022-03-31
race,20501163,1980-02-03,2017-01-18
western,1195578,1970-09-07,2000-02-14
set,29003311,2006-06-23,2019-12-16
seven,24994923,2020-10-23,2024-05-22
century,16372211,1978-05-20,1999-12-18
over,35826097,2010-07-14,2015-05-14
actually,50939666,1971-04-05,1975-07-17
prevent,21612704,2008-01-19,2023-05-01
material,51524400,2012-07-06,2020-09-03
bring,52124232,1984-10-25,2014-01-08
government,49564958,1974-02-20,1994-07-24
kid,66771452,1996-11-24,2005-01-02
movie,17385976,1991-11-02,2018-09-16
professional,51457799,1975-08-26,1984-12-27
world,755428,1975-01-14,1982-10-23
real,90437063,2020-01-20,2022-05-15
know,61277597,1983-08-13,1985-05-16
daughter,92733518,1979-01-03,1986-03-15
phone,37239068,1990-12-13,2002-05-25
improve,94603755,1981-03-24,2000-10-12
car,91480319,1984-12-03,2021-11-23
summer,8195420,1971-12-09,1974-07-19
avoid,3095897,2010-09-07,2018-01-07
building,7231229,1972-01-01,2010-12-17
style,4174352,2017-09-06,2020-10-23
team,34297787,1976-09-08,1980-07-05
room,17128897,2012-12-02,2015-07-30
hotel,35401992,2002-09-30,2019-01-26
food,64174743,1977-08-06,2012-11-13
movement,29049966,1982-09-21,2024-02-28
Democrat,89295362,1973-03-23,1991-01-15
state,6865389,1998-01-20,2002-04-11
indicate,6951835,1983-09-12,2022-02-05
sit,30801462,1988-08-29,2018-12-25
remember,53521522,2002-08-24,2019-10-02
environment,99571563,1998-08-25,2021-10-12
strategy,15175093,1981-07-28,2022-08-23
president,45924872,2015-10-04,2018-06-24
wife,94820273,1982-04-19,1999-04-18
rest,98670344,1990-04-06,1990-11-06
exactly,81860396,1992-11-19,2020-02-04
contain,58046686,1992-08-16,2008-01-08
science,65616282,2024-02-21,2024-03-10
upon,14422226,1994-11-21,2003-10-23
follow,34729262,2011-01-28,2011-07-14
head,85635861,2003-02-07,2021-08-03
window,91001438,1971-01-13,2024-03-03
boy,52072679,2012-01-30,2015-03-08
quite,33202293,2009-08-15,2023-02-19
free,94060050,1982-07-01,2006-05-03
dinner,78883096,1986-12-26,1995-03-11
kitchen,51370841,1985-04-28,2008-10-10
various,96026543,2009-03-14,2023-04-18
compare,23483837,2005-10-04,2008-09-10
coach,1477190,1996-11-15,2011-10-02
check,79532420,2018-06-14,2022-09-14
walk,80437432,2017-02-23,2023-04-02
news,2655734,1982-07-04,2020-12-21
brother,22980014,1971-01-08,1985-04-01
station,99077193,1984-10-24,2009-04-24
phone,65132080,1996-04-24,1997-09-04
star,22276520,2003-02-08,2010-01-08
foot,68081634,2004-10-18,2008-06-07
wait,21479289,2012-01-12,2013-01-31
hot,89151983,1986-01-27,2007-12-01
perhaps,46119294,1998-01-30,2014-02-01
allow,3014905,1996-11-22,2010-12-31
however,58512636,2005-08-23,2023-04-06
way,48599796,2001-03-13,2007-10-18
cultural,43989225,1990-09-04,2017-08-19
window,19443585,1973-09-19,1994-01-10
skin,40490448,1995-08-20,2012-06-06
east,47499465,2006-03-13,2008-01-11
product,10899436,1970-08-27,2001-09-01
instead,59534116,1996-07-31,2002-08-19
kitchen,71756793,2023-09-14,2024-04-06
who,28773119,2021-04-03,2024-05-23
step,47989472,2007-07-03,2012-10-30
week,87789098,1990-01-17,2005-08-24
issue,8938944,1975-02-01,2004-12-23
crime,56801746,1987-11-29,2010-08-27
eat,47362700,1977-01-25,2015-02-09
but,71507585,2015-08-27,2016-02-04
here,85497016,1991-08-25,2017-12-18
talk,77253071,2004-06-22,2020-08-20
travel,78488425,2021-09-24,2023-12-22
another,74334175,2006-08-25,2014-10-11
guy,73794126,2014-11-14,2020-05-25
end,83492342,2011-05-08,2017-03-26
service,7829403,1995-12-28,2006-06-22
thousand,10939930,1989-05-24,2000-12-10
hand,20099291,1997-01-04,2021-06-01
wear,74548940,1979-06-05,1986-08-10
light,70786867,1989-06-04,2020-04-20
religious,64991637,2000-01-25,2012-04-04
method,35908358,1998-07-14,2008-08-28
clear,36516775,1990-11-30,1994-03-06
the,37124522,1973-12-22,2016-05-12
mention,39609875,1989-09-19,2007-04-04
mother,72227094,2006-11-21,2016-11-01
within,36785179,2021-04-23,2023-04-07
he,65714338,1976-12-28,2011-01-15
continue,21462141,1975-01-19,2020-08-14
really,46886878,2012-11-29,2024-01-20
after,35161328,1986-03-04,1997-01-12
race,78199841,1970-06-22,2015-02-24
short,32154512,2008-05-05,2014-02-03
after,76151760,1974-11-13,1985-12-26
word,72308922,1997-09-30,2024-06-21
foreign,91939599,1982-01-24,1989-06-17
hear,23801752,1974-08-16,2012-07-10
this,2384240,1973-08-27,2006-09-05
others,5589533,1972-01-17,1982-03-28
want,27617245,2018-05-13,2020-12-28
station,23988003,2001-12-17,2022-01-16
happy,55400333,2006-02-04,2008-12-04
story,11061084,2019-12-27,2022-04-06
occur,80358650,1980-02-18,2004-01-08
station,95345646,1984-02-25,2004-04-12
method,97890284,1994-01-15,2016-09-07
budget,23490763,1994-05-28,2004-07-10
factor,40264741,2000-02-04,2023-05-08
can,17430740,2008-10-20,2008-12-30
movie,58457974,2016-02-02,2018-03-12
hour,50647860,1995-11-11,2003-03-13
free,23359240,1983-01-23,2006-07-19
hundred,63258154,1984-11-15,2019-01-12
organization,51684387,1973-03-08,1987-06-04
seek,47243273,2023-07-11,2024-05-14
six,47665668,1973-11-29,1998-01-30
operation,70269087,2011-07-31,2016-01-09
daughter,90020177,1989-06-07,2023-07-09
rule,47564915,1983-02-26,1993-09-15
ready,72609968,1985-09-15,1994-10-09
thus,98124468,2012-02-27,2015-12-03
music,75630579,1977-10-20,1996-08-27
politics,96961246,2003-08-10,2022-07-16
edge,51658001,1978-07-07,2013-11-16
while,49853171,2000-04-22,2011-06-13
