desde,hasta,id_actividad_ext,Legajo,dedicación
2024-03-24,2024-04-14,5120038,15642439,21
1986-02-13,1993-03-31,81213220,47211255,7
1998-12-15,2019-10-15,90881052,78054649,26
2018-05-17,2023-02-18,18286661,8243763,15
2009-11-26,2024-05-19,50400730,51741196,25
2001-05-01,2015-02-21,27248988,17175241,38
2017-09-02,2024-01-27,49951885,49651805,5
1974-02-17,1999-06-22,67098403,93075271,30
2012-01-14,2015-10-04,30588704,17711726,27
2008-07-17,2008-12-14,38668358,11283457,10
2013-01-02,2022-09-16,95963621,75873568,28
1970-08-09,2003-08-13,70085139,57445375,24
1994-11-04,1997-11-04,2972821,84498204,7
2020-01-10,2024-04-01,11997806,21462141,7
2000-08-10,2022-08-01,49315443,33833757,8
1980-03-03,2023-01-03,40186390,81798062,39
2006-09-19,2019-03-02,38651375,58390365,24
2011-06-06,2016-09-05,64475352,77780117,23
1978-05-24,2017-04-15,80606721,61931947,14
2022-08-04,2024-04-10,89571552,4619096,15
1980-01-13,2003-03-10,73444118,46464933,34
2018-06-13,2021-10-22,68837768,33538722,5
2000-05-08,2007-06-12,39653643,20888619,3
1984-03-24,2012-10-17,38315659,7303851,5
1981-11-12,2007-11-25,57285864,95748218,18
2011-09-21,2017-05-24,22735005,65948798,14
2008-02-04,2022-02-24,37573646,35817562,31
1992-07-24,2011-11-09,15703120,59537982,9
2023-10-19,2024-01-27,83901470,58663549,15
2022-03-23,2022-09-11,61740968,53949661,9
2020-09-12,2021-12-27,53321186,51208798,17
1999-01-18,2000-02-05,49145183,8373308,35
2021-01-27,2021-03-28,45627924,40617763,7
2024-02-05,2024-05-01,66568973,1271083,10
1971-11-11,1971-12-27,82209849,67644046,14
2015-08-11,2016-08-25,84208110,9773179,11
2009-05-16,2017-06-30,55411952,59427350,14
1983-08-25,2024-02-17,82152582,36352850,28
2009-08-04,2024-04-23,94230811,3694451,7
2017-08-10,2020-09-30,51186952,10142354,12
1970-09-29,2006-06-17,45027450,67968552,5
1976-06-19,1996-05-22,82500841,82534896,34
2002-06-08,2003-08-21,51735969,97610268,31
2014-12-20,2023-02-17,25421841,93087955,38
1979-02-09,2001-06-14,53026363,49583725,23
1994-10-24,2019-01-31,37417702,32728426,9
2013-03-10,2021-12-29,78175895,22123405,5
1998-12-08,2008-05-24,57244660,64199069,22
1994-06-20,1995-05-22,58170579,6663260,3
1991-04-26,2013-11-10,59385544,29073512,21
2013-10-16,2014-05-31,95145859,3755487,29
1983-06-24,2020-08-25,29176153,93684353,12
2006-11-26,2018-06-24,73688654,26388105,30
1997-10-02,2021-10-09,26938240,58747368,22
1977-05-03,1986-06-12,74140085,82150001,17
2015-08-09,2018-12-21,76222762,32220494,16
1999-04-10,2002-05-18,10519114,28589951,2
1991-04-30,1997-08-27,78013526,23082730,39
1983-11-17,1992-04-04,4348821,91663110,6
2012-01-06,2012-09-17,65601237,43464066,15
2012-03-13,2017-09-05,83548257,37041500,20
2004-08-30,2006-07-27,8311552,51050793,8
1995-10-27,1997-07-06,55168236,88717750,16
1993-07-27,2011-06-03,92267336,23060781,4
1991-12-13,2007-08-12,65886548,38321097,24
2009-02-19,2015-01-24,88791229,48342454,5
1989-12-27,2017-12-13,14176842,41021275,18
1995-09-03,2006-03-03,71320558,4685290,37
2021-05-06,2021-06-27,4942719,83342878,16
2000-05-04,2017-09-05,10537585,59767111,21
1980-06-15,1983-10-06,42806415,94912936,35
1988-02-01,2005-10-20,56126229,76513422,40
2012-01-11,2016-07-01,45711005,25973806,40
2004-02-23,2018-09-07,30070593,24591379,33
1990-09-10,2023-09-29,52137292,20029991,23
1983-02-18,1998-04-12,76143642,61230694,14
1999-06-20,2016-07-03,6485418,31164797,29
2018-08-09,2020-06-07,7437236,23795482,18
2018-08-26,2024-02-24,38361098,56488242,4
2016-11-18,2020-12-07,35691893,16878173,37
1993-05-18,2005-03-25,33817812,37302077,40
2021-07-22,2024-06-26,6848611,64289101,31
1990-06-24,1991-05-01,24839215,28817550,23
2018-11-11,2022-12-28,96978256,93767934,32
1984-06-29,2013-09-09,77100933,83008589,31
2024-07-01,2024-07-06,93790074,78325216,23
2011-11-13,2020-06-09,15924588,15095023,28
2010-10-09,2012-03-06,54096643,21078216,37
1998-12-09,2011-11-17,80046548,98996320,36
