idTitulo,Legajo,Desde,Hasta
12107,60994139,1977-01-24,2018-08-19
57753,57082344,1985-01-21,2009-01-25
83192,5025634,1996-04-24,2005-09-14
11269,23623407,1978-03-21,1994-04-08
18167,69006306,1981-12-15,2022-02-27
82384,24283339,2015-07-18,2022-01-04
91802,43770046,2006-12-09,2020-06-17
46387,7775653,2012-09-26,2017-09-04
7840,18909460,1978-11-08,1987-10-06
86264,59317054,1973-04-05,1994-02-06
41874,54843440,1984-09-18,2018-10-04
77707,82968273,1977-12-04,2009-09-11
2912,71085819,2014-02-05,2023-04-22
42593,61549964,1975-10-14,1978-10-12
88431,54407096,1996-02-29,2001-05-15
27487,23076269,1975-11-29,2012-11-10
92637,26017357,1973-02-26,2008-06-12
93611,36112129,1970-09-11,1984-10-17
31134,67634339,1998-07-30,2003-10-20
43247,26864858,2004-09-16,2012-07-04
34269,89216517,1990-05-14,1992-02-21
41480,69362109,1981-09-03,2020-05-20
77618,32089273,2005-11-17,2015-12-01
50791,75228789,1994-11-02,2000-03-17
16103,88180764,2005-03-12,2016-07-06
50228,37556494,2015-06-21,2022-03-17
7210,91759394,2023-09-02,2024-06-12
5607,95827235,1973-08-30,2006-02-08
66449,27109906,2021-05-22,2021-09-20
40928,65830541,1977-02-22,2024-03-09
30592,89800089,1992-01-30,2024-04-09
25142,88040297,1990-02-17,1999-08-06
20799,18110150,1975-12-21,2019-07-26
33319,69956313,1987-01-16,2014-09-10
14852,55894680,2007-10-08,2021-12-29
46028,34412417,1984-07-27,2003-04-18
99303,88034472,1981-01-17,2008-03-11
40499,22797185,2017-06-14,2020-11-19
97279,52179551,1970-05-09,2004-07-29
89465,23625971,2017-09-05,2021-04-25
86449,29501392,1984-12-23,2004-05-14
43795,95847425,1978-02-24,2001-04-11
80690,98194297,1994-03-30,1995-08-15
54020,25733240,2011-04-27,2012-05-11
19900,70220783,2013-02-13,2021-06-22
17232,5245351,1984-06-26,1988-07-28
56235,54407852,1994-08-25,2013-06-15
33438,97347560,2002-03-07,2007-11-09
38495,9462578,2022-12-01,2024-01-01
96675,80992244,1992-06-25,2008-04-29
15226,84042904,2001-09-09,2014-07-23
9277,96240769,2014-06-19,2016-06-16
14544,1383095,2017-02-21,2020-08-18
25390,73145360,2022-06-23,2024-07-06
15761,21536112,2019-11-10,2020-01-04
56389,61590922,1992-07-18,1996-06-24
99308,65043378,2005-03-15,2024-05-03
35782,76222810,2005-04-10,2020-08-16
61761,96967166,1980-05-29,1983-02-04
3125,19775667,1991-01-18,2001-01-14
96401,50218270,1972-10-23,1974-06-07
69036,86333327,2010-07-19,2022-04-10
59850,27869336,1999-12-03,2017-09-22
77741,29182680,1991-01-22,2006-03-06
31867,82383345,2007-10-30,2020-12-20
54530,22687295,2006-11-19,2007-04-22
38611,18858536,2010-12-24,2016-02-03
79266,66840062,1978-12-14,2016-09-01
32137,55011377,2024-04-17,2024-04-23
7531,22333860,1974-04-25,2000-07-22
3808,45871831,2008-02-11,2016-09-21
96823,47307422,1975-05-10,1996-03-09
21431,25409001,2006-04-06,2008-10-15
43800,68470282,1999-10-31,2014-10-15
1201,64225935,2000-06-28,2021-11-30
71923,83215582,1973-09-20,2016-12-20
4779,78588757,1981-09-05,2013-05-04
38080,70128656,2000-04-21,2014-10-29
