Legajo,investigacion,desde,hasta,dedicación
23741575,782213,2004-04-29,2021-11-14,25
35261900,212611,1983-02-28,2022-11-28,1
26105474,807737,2017-09-17,2024-03-27,33
22766730,67440,1981-12-03,1992-04-11,9
33034156,430109,1978-05-05,2013-06-19,11
26868070,277267,2002-06-28,2011-06-27,33
7573746,741370,2022-08-13,2022-11-02,34
38887286,252096,2007-05-04,2012-05-09,23
16788818,247250,1987-06-28,2020-12-03,9
13506915,49527,1997-11-09,2009-10-01,26
72786948,347888,1991-06-12,2004-03-25,16
60083079,652760,1995-08-16,1998-08-18,11
91142256,869778,2023-11-01,2024-06-07,4
22931056,8565,2012-08-16,2015-11-24,22
59579363,685497,1999-02-11,2009-07-20,8
71237465,558099,1973-06-26,2016-12-13,19
781487,268708,1974-02-25,2002-09-13,21
63106432,88316,1996-02-10,1997-10-12,16
29694142,868045,1976-08-19,1994-07-16,12
33376936,395354,1975-03-17,1975-05-05,28
27506846,517077,2003-10-13,2013-04-26,2
81834528,191010,2022-11-29,2024-03-15,31
29073512,372669,2000-08-16,2014-01-12,21
41463137,111082,1996-07-01,2015-08-21,7
50955458,371322,1970-08-12,2000-09-30,18
23186812,238968,1995-03-12,1999-08-03,14
70373493,443779,2013-08-10,2024-05-23,24
89434150,509737,1977-11-22,2003-10-20,7
90563657,69194,1997-05-16,2021-05-29,26
32227067,896410,1999-10-31,2017-06-03,24
91980306,579887,1992-10-10,2014-04-30,6
93485493,421717,1976-11-08,2012-04-14,20
78545881,555102,1985-10-06,2018-04-24,40
68129078,193683,2009-01-02,2011-10-01,40
41489346,835316,2011-09-17,2012-03-26,17
41308553,728370,1976-01-02,2020-01-16,15
76177884,575891,2019-07-04,2023-11-10,14
88359848,366423,2016-02-22,2022-08-12,20
51479383,365169,2009-03-02,2014-08-01,22
50847071,735184,2015-05-09,2019-08-21,24
6078052,657639,1986-01-02,2013-06-01,22
21682033,636765,2005-06-06,2006-11-23,32
68269559,727482,1996-11-18,1998-04-21,39
21484581,577137,1977-04-17,2010-11-08,10
27779804,366360,1997-01-19,2008-03-27,21
63403145,777527,1988-03-13,1988-05-30,5
45543897,376819,2009-10-19,2013-09-06,36
76190875,132471,1984-06-28,1996-03-22,16
20017245,25385,1976-07-17,1978-01-11,2
85534974,563314,1977-01-22,1987-11-27,1
95216312,821668,1981-05-14,2000-11-18,2
50857627,941256,1994-05-31,2016-12-03,33
72308439,320125,1975-09-04,1997-10-01,3
9745546,800163,1971-01-13,1984-10-27,9
86534093,503377,1993-12-02,2012-07-17,28
59710021,667667,1994-02-19,2018-05-12,24
46222547,906719,1997-08-23,2007-11-12,20
95924631,652344,1978-12-13,1998-05-08,7
56738439,830982,1993-10-24,2003-03-26,23
5945085,129118,1999-12-13,2021-07-24,22
67419398,153927,2014-03-26,2023-03-25,1
99473792,67291,1991-12-31,1993-01-02,19
82430178,720002,2012-09-10,2018-06-06,5
32222537,205771,1970-01-11,2017-01-12,36
91946493,809471,2017-07-21,2022-07-03,6
75388757,359255,2009-01-10,2010-03-28,27
58085126,432666,1970-09-03,2019-09-11,21
61328698,944006,1977-06-13,1988-01-22,15
37428818,469367,1996-07-12,2012-09-03,11
21466355,423079,1996-11-28,2022-06-04,16
74065959,57154,1977-10-31,2007-04-04,21
93521870,93487,1999-03-03,2000-12-01,32
1940506,517089,2022-05-30,2022-10-04,21
77082723,408141,2011-12-24,2024-01-03,9
95958712,510034,1991-03-24,1993-02-11,8
22998848,413887,2009-01-11,2016-04-08,1
46298999,672440,2010-03-20,2023-01-19,36
22781334,127435,2017-12-11,2020-07-04,39
23741870,577774,2010-12-08,2014-10-12,10
11295168,755275,2010-08-13,2016-10-12,30
78307548,228127,1976-03-09,1992-09-03,13
