legajo,id_tarea
87776766,1980623
70776903,7264796
74323109,2015150
22159241,8089497
17899770,1279247
9715777,9301813
81721447,2820797
5911910,2223823
3116335,7877932
3907481,6150261
62518245,4819791
33687198,4316906
35585081,5234198
48171961,4711649
70397950,4409370
42287469,757637
788722,7562950
24165540,579162
7246757,8396520
31714663,6710064
16945806,5528915
43228620,13916
44607299,5057701
23112287,4657497
33656235,8175915
52250022,688983
38581835,1583152
99611962,5587560
49911213,1576415
56751047,9504826
87025202,8340743
94549378,6195548
1337342,4248463
22154783,8064560
44008244,2733746
93248445,8032185
96024843,1000618
84278995,6402278
95757719,4830504
61859857,2424559
53855634,3407202
76803512,4960198
80270247,9389508
59705438,2693600
67663166,8785606
84835610,8773590
7117906,7533314
49451133,6954356
84769545,4558398
61915335,4966243
11814297,9682799
22821981,7700418
41826234,7676384
85823596,9131390
39334735,4978702
2768753,8490418
61968462,776184
93983931,4249017
96836706,267205
8530172,9023322
89473641,4326789
61889215,136901
93150094,554101
38036331,6556166
61542786,1602054
78927655,7979852
87644390,5224824
56116550,4863189
6749214,4409998
35193924,5577364
45643464,4922877
19273708,4589269
61401257,4487906
49011029,8677556
46253845,833671
77277825,4150822
24650782,5925451
8891431,5385060
21718434,2152191
19406129,3425394
91306129,2049655
14577454,4684782
41791203,8223677
50268402,7128751
94920815,1583152
16320005,2191234
49535350,4015727
36207520,3302039
83793512,6714178
32216586,7705071
1077122,5035194
42830810,4149963
53704523,8253473
24842075,6812824
19507935,9885943
18701848,1618190
27446642,3841570
66227153,8983902
72244813,2941221
46234560,6002077
67388544,1117819
28115076,5038722
57813720,2424559
65741444,6653157
72394983,9296863
2276207,7511456
10013016,6498649
68871402,3185705
74255443,8105524
22773354,4942675
44501303,896820
75477803,9102405
46514264,4601493
80582062,2604306
59092002,4919945
62416865,7193612
42583690,8396520
48962490,7222887
23655424,957486
96183531,9099279
92219874,3473398
10864939,9832231
97347560,6256067
81473899,9634759
20546693,6195548
23664558,4465726
66990906,7934153
6300132,7264876
55852439,7971634
40340986,9507843
23494002,6600764
11731693,6646815
76364079,8325053
98652801,5390635
78279759,4665576
16059849,4547487
26898382,5251677
2575534,572364
98647330,4425298
96367838,2433486
48361826,7844483
40271727,3407202
73623971,3688512
48392415,178189
61430766,4925602
72516606,1782623
