legajo,id_domicilio,tipo
83178987,76926427,Particular
31572253,53078904,Laboral
97502288,50254593,Particular
16004028,84990841,Laboral
44105891,68831450,Particular
74956818,88582277,Laboral
60961964,18959657,Particular
24247933,78154571,Laboral
15587475,88574406,Particular
11964498,76731788,Laboral
16908484,90686174,Laboral
4216938,91103176,Particular
53145121,76351341,Particular
90831071,29567477,Particular
74108143,8072396,Laboral
80760866,27641751,Laboral
21462937,62762297,Particular
27293029,73648867,Laboral
23659469,51055884,Laboral
72194771,12926063,Particular
52461268,30201690,Particular
59202526,95153532,Laboral
95672806,79981372,Particular
99124163,17571042,Laboral
9205401,82707802,Laboral
25539164,46403661,Laboral
75602263,91135332,Particular
21419848,45257866,Laboral
38375746,38480382,Laboral
9620559,31203706,Particular
62421458,1329775,Particular
38400180,4243281,Particular
72554610,44429165,Laboral
22417858,66780176,Particular
43509678,79523438,Particular
6529178,25774389,Particular
12475774,95380263,Laboral
51648045,71449449,Particular
64321262,9431992,Particular
15624650,93432025,Particular
18601882,47881183,Particular
31772796,83456441,Particular
72877450,15520009,Laboral
3073735,45219780,Particular
11392448,61076559,Laboral
80795833,6263055,Particular
55411346,92625177,Laboral
21037415,86706628,Laboral
4858647,47917428,Particular
35447553,80226320,Particular
36099891,52030153,Laboral
50680865,1436929,Particular
99214820,97380921,Particular
59343799,71665372,Particular
81568413,98517288,Laboral
48261761,76381122,Laboral
95548442,63380599,Laboral
89786412,71054107,Particular
61692156,92024848,Laboral
82698868,52703102,Laboral
82056651,54404395,Particular
55285856,5845285,Laboral
11259767,75820650,Particular
99988736,64820766,Laboral
40176424,12821039,Laboral
48042343,880089,Particular
13328529,46600355,Particular
88904310,91414803,Particular
97665134,21140272,Laboral
48481808,37099685,Particular
36879237,96057571,Particular
70240019,45682561,Particular
54566013,82472,Particular
93863030,15724866,Laboral
95026984,23241593,Laboral
56295443,76424700,Particular
43810381,44226898,Laboral
52097491,18659893,Laboral
53525873,71983395,Laboral
25265380,26998801,Particular
23448891,49699555,Laboral
16242777,14816617,Laboral
9001096,57341460,Laboral
56885487,69478769,Particular
78225558,4952009,Particular
3611341,42186538,Laboral
67564639,89323011,Laboral
99882484,17838213,Laboral
30883331,20883400,Particular
82195250,21596376,Laboral
70954351,71275871,Particular
50262330,32467482,Laboral
43378914,99054696,Particular
28878775,56396139,Laboral
6264764,24906204,Particular
34562555,72900626,Laboral
41173834,83717600,Laboral
69682160,91627162,Particular
10676873,58706489,Particular
63197815,10883511,Laboral
72970055,66400061,Laboral
80018181,99454618,Particular
57939907,2279842,Laboral
33174247,61569537,Particular
65519347,30973331,Particular
30096700,21250914,Laboral
12171774,56548911,Laboral
80728039,12751236,Laboral
24276433,18835716,Particular
81920133,51351060,Particular
29607221,38286393,Laboral
69237735,72520881,Particular
34084746,23401865,Particular
60407879,87918190,Particular
17743956,18877765,Laboral
90158438,26701574,Laboral
71706734,88240754,Particular
57361317,51997927,Laboral
70724791,48802180,Laboral
43872351,63006684,Laboral
60569850,21154753,Laboral
48007048,62971810,Particular
82141225,87849409,Particular
55032302,10365364,Laboral
34848136,39572398,Particular
16138315,49258800,Particular
66038295,22766668,Particular
89411322,46226019,Laboral
51909492,3132975,Particular
37270752,19334779,Particular
50018089,69193019,Particular
75498445,3981341,Laboral
40301468,58363655,Particular
781487,57513119,Particular
42266600,55643818,Particular
87236009,1523508,Laboral
94102265,439101,Particular
25456403,17445188,Particular
58098857,99419122,Laboral
80239169,74583878,Laboral
15323814,7502560,Particular
8591214,90630006,Particular
96185917,78095934,Laboral
80755017,95548939,Laboral
59400312,63034344,Particular
33516552,93301076,Laboral
18563669,62498836,Particular
76413557,513875,Particular
81034540,74875131,Particular
44687062,19338340,Particular
38969049,87872792,Laboral
30427015,16578532,Laboral
85143514,12305158,Particular
80278004,36342593,Particular
83579421,78617316,Particular
30924662,68958066,Particular
91890657,6937233,Laboral
44870218,18308016,Particular
50224955,3256661,Laboral
89497066,81616441,Particular
64560957,37007477,Laboral
11082159,74091438,Laboral
53207506,20702063,Particular
4239329,32312501,Laboral
97070083,50093181,Laboral
13304258,4894520,Laboral
75802187,8604956,Laboral
88098913,59659518,Laboral
47802762,63607483,Laboral
16183021,34320926,Particular
13894757,78431273,Particular
20566543,14643506,Particular
90297911,85646870,Laboral
6017980,81869427,Particular
96244369,75705048,Laboral
61158548,49900424,Laboral
96900155,21293473,Laboral
81846171,33721416,Laboral
97785891,10007200,Particular
34222716,29964153,Laboral
82601992,49576638,Laboral
73367599,7788645,Particular
42108679,65097068,Particular
33089231,88029669,Particular
56954312,52578942,Particular
61360112,32755390,Particular
53858931,85607911,Laboral
81760612,76818903,Particular
50679397,26788485,Laboral
91415846,69703721,Laboral
48641090,11831237,Laboral
83221535,67570872,Laboral
23328597,27404392,Laboral
20903937,45348368,Laboral
29352861,88372632,Laboral
79434049,67940644,Laboral
44215786,74816201,Particular
79495262,59953477,Particular
681028,60867412,Laboral
88963674,46403661,Laboral
7128558,1761087,Laboral
93012263,36410689,Particular
36262697,9364205,Particular
10442298,21288976,Laboral
81021868,18057842,Laboral
14205991,50516884,Laboral
26537656,21386253,Particular
32971304,88266236,Laboral
5879193,7293510,Particular
63967703,92861133,Laboral
63951637,21386253,Particular
65874996,88876151,Particular
38589748,910036,Laboral
83440264,1518170,Particular
62812805,21674678,Particular
74250353,1255983,Particular
58165001,78353523,Laboral
96003844,28614663,Particular
22977165,23833823,Laboral
6529178,37950222,Laboral
98018163,86210584,Laboral
27024549,89667188,Laboral
69310615,26643314,Laboral
90624418,42008185,Laboral
12857326,81134175,Particular
45186377,45874572,Laboral
41139317,72722641,Particular
9252272,38984608,Particular
4403814,78627616,Laboral
6595148,45570152,Laboral
46711453,77472838,Particular
17109589,95598605,Particular
2586301,1490674,Laboral
22079284,51277662,Laboral
64289101,63326236,Particular
41989297,91307707,Particular
59787965,73473516,Particular
8465456,45682190,Laboral
46970994,62821158,Laboral
24768979,4178024,Particular
67828046,37206562,Laboral
98716292,66867853,Laboral
48110834,2176385,Laboral
37813442,43592896,Laboral
97477555,76737547,Laboral
62072645,696303,Particular
38885076,79863710,Laboral
97127021,85961885,Particular
31942319,36592106,Particular
68196422,94939463,Laboral
653519,71710710,Laboral
30964847,81094864,Particular
28842986,31369859,Particular
82106363,23907862,Particular
24571515,40316476,Laboral
40105755,19539786,Laboral
22998848,77695189,Laboral
13874789,38315092,Laboral
67036496,96806432,Laboral
64628191,99179860,Particular
7184163,3089699,Laboral
37128528,77950516,Laboral
52970427,61307471,Laboral
97019682,45614319,Particular
89948368,84484258,Particular
88301356,95377615,Particular
25757182,20454759,Laboral
3755772,11603457,Particular
79894335,63999726,Laboral
40511976,92963737,Particular
30880074,3889604,Laboral
55647725,55055789,Laboral
85133689,88228444,Laboral
93594259,56082273,Laboral
49233964,6204606,Laboral
14892010,98479578,Laboral
32993020,70786895,Laboral
82709130,66592246,Particular
75191733,8827169,Particular
22930437,17689578,Particular
40719290,62432808,Particular
77323801,48093983,Particular
11234936,95804769,Particular
60286866,78982860,Laboral
60166391,45578717,Particular
75734739,21202415,Particular
58478191,68753988,Laboral
40341844,21288976,Laboral
62629335,2603152,Laboral
21146978,75820650,Particular
35541190,19423407,Particular
72116817,50269572,Laboral
21402523,75353243,Laboral
44350259,13981831,Laboral
20324695,98666609,Laboral
49095865,61709897,Laboral
72371020,5745714,Particular
28588659,84801547,Particular
19360986,48246498,Laboral
3858817,77896731,Laboral
41094820,59951478,Particular
93574176,83577001,Laboral
82487504,21506914,Particular
38917909,38703795,Laboral
81614032,64946160,Laboral
19712048,69039562,Particular
41450401,82509568,Particular
41291930,25634576,Laboral
59744079,65841567,Particular
41500103,12980768,Particular
41051819,94804427,Particular
57323015,14690465,Particular
2842773,47460995,Particular
49817544,88050083,Laboral
22629013,88002523,Laboral
61836498,5519714,Particular
86420553,88810377,Particular
12335910,63980793,Particular
24923918,42251765,Laboral
77901793,20193375,Particular
25397288,11179484,Laboral
16749187,23428332,Particular
17351025,33193195,Particular
3125359,85207043,Laboral
56347548,32204835,Laboral
48858701,78878679,Particular
4410403,5898022,Particular
74507267,72100823,Laboral
52817078,62928115,Laboral
24891559,65232125,Laboral
94650613,65516845,Particular
67322580,85326042,Particular
23377110,35952175,Laboral
65063701,58035344,Laboral
67694424,92101413,Particular
96451776,34394702,Particular
42575085,49391440,Laboral
9178574,30662092,Laboral
76819420,15204425,Particular
86512094,37459021,Particular
30613948,83356504,Laboral
51074150,12402558,Particular
86055672,51910485,Particular
48955405,19345840,Laboral
36131646,17341042,Particular
3703722,87858635,Laboral
67950335,23330850,Laboral
97384699,70432779,Laboral
36644000,59933675,Laboral
78646277,70319512,Laboral
25943380,68252214,Laboral
3770879,54350102,Laboral
72641600,62867255,Laboral
60829346,71624453,Laboral
31433350,50142148,Laboral
72240882,32479804,Particular
20614497,11059052,Laboral
47118037,5868756,Laboral
32038238,12216653,Laboral
26758926,37435908,Particular
47817511,81252054,Particular
13299792,73633507,Laboral
2506871,36545000,Laboral
22083045,54633356,Laboral
33747654,4881280,Particular
29603669,42658434,Laboral
40672596,97488552,Laboral
75338113,56512957,Particular
84072318,94373,Particular
44219143,73752089,Laboral
50804168,61878909,Laboral
45889135,53146881,Laboral
40224660,14880453,Particular
69276851,9016356,Laboral
63497462,9577130,Particular
7749010,15583957,Laboral
4426916,81526347,Laboral
94897644,4131635,Particular
94549535,68742852,Laboral
5413998,3735389,Particular
98553632,81919112,Particular
18259734,44585333,Particular
8543111,46959781,Particular
2208625,22937699,Particular
44984682,12065509,Laboral
82796369,79709201,Particular
71486984,67788437,Particular
59095305,85608989,Particular
15423989,77191491,Particular
2291804,77903195,Laboral
16793922,29326300,Laboral
59199852,90406918,Particular
95753185,55185507,Particular
31117883,36113283,Particular
54843440,5873560,Particular
46662029,93235355,Particular
87936203,10297228,Particular
42591411,75962170,Particular
85168732,50634143,Particular
55666395,12316290,Particular
30608981,26627802,Particular
65856347,40483080,Laboral
40828877,21250914,Particular
40887912,35789376,Particular
67843448,76347461,Laboral
19126376,7219729,Particular
64408055,57123649,Laboral
74635400,64110778,Laboral
25830550,80718376,Laboral
19701206,6835525,Particular
76841390,18241514,Laboral
24019232,45050511,Particular
92143893,92990768,Particular
11002403,18880486,Laboral
26960512,70201998,Laboral
28231716,59661727,Particular
18515783,16693301,Particular
56957090,11463291,Laboral
15777927,39835312,Particular
27049016,28939149,Laboral
62676799,48219168,Particular
88760835,12562022,Laboral
78132081,449859,Particular
784420,49379242,Particular
99949055,40664491,Particular
65822945,7651501,Laboral
89928151,22928193,Laboral
80814644,9699933,Laboral
14311112,37323466,Laboral
40921463,65760050,Laboral
80027027,89667188,Laboral
16347004,33768911,Particular
79421202,82498245,Laboral
2295207,20524327,Laboral
20853218,39617912,Particular
59815537,28393600,Laboral
94982888,41687154,Particular
7165584,78041161,Laboral
83343948,49268973,Laboral
10589843,49209096,Laboral
76738241,60201803,Laboral
75429789,59977321,Laboral
87640264,70642912,Laboral
25448620,31191029,Laboral
68884243,57071162,Laboral
99050849,31589621,Particular
95552653,58237290,Particular
43789169,24370381,Laboral
61367050,84937434,Laboral
91381456,4316553,Laboral
91643291,67154243,Particular
12397118,3467214,Laboral
92788423,57307028,Laboral
96956365,53601508,Particular
79842938,72069927,Particular
78292543,75058524,Particular
56934459,7078339,Particular
97032411,76064229,Laboral
65448843,35252484,Particular
35300601,69016093,Particular
64522559,2757825,Laboral
64706657,64643204,Particular
39528759,20940552,Laboral
82631826,64161990,Laboral
53534426,26860869,Laboral
12424112,66179812,Particular
89945232,73871892,Particular
340962,65207148,Particular
89661822,70372277,Laboral
71660659,78288531,Particular
73214423,23734802,Laboral
22372662,50478386,Laboral
94003218,93591658,Laboral
67744177,54737233,Laboral
48250622,83976456,Laboral
95815750,63202383,Laboral
28996690,92361258,Particular
41970720,42941259,Laboral
86978725,9664087,Laboral
85605060,54897912,Particular
61549706,67349236,Particular
99885000,63696759,Particular
49777689,39452118,Laboral
54838396,1166873,Laboral
25917192,67181975,Particular
58610266,29408206,Laboral
80597843,87643230,Particular
44076477,53987597,Particular
64567666,63762483,Laboral
22998848,38571005,Particular
5258033,34394702,Particular
90963217,20512042,Particular
28842986,96919062,Particular
65842371,7164691,Particular
15427982,64525550,Particular
73398903,92296675,Laboral
70754968,34820835,Particular
67138371,99302980,Laboral
19353424,5220151,Laboral
