legajo,id_reunion
87776766,42460548
70776903,90473292
74323109,78499724
22159241,65441229
17899770,45695791
9715777,25067173
81721447,15881431
5911910,4819862
3116335,69437376
3907481,1878045
62518245,18294788
33687198,88415931
35585081,51663043
48171961,66868128
70397950,29200580
42287469,74230970
788722,66139338
24165540,12599373
7246757,36222741
31714663,48257541
16945806,71276491
43228620,37112440
44607299,79782220
23112287,3246194
33656235,66505989
52250022,89174464
38581835,88521599
99611962,17879308
49911213,14499737
56751047,40801343
87025202,83215126
94549378,52542478
1337342,77997062
22154783,88078674
44008244,53618726
93248445,56797284
96024843,14871732
84278995,1853381
95757719,97526568
61859857,35729471
53855634,40294728
76803512,31876007
80270247,74955521
59705438,63952048
67663166,55709779
84835610,6231072
7117906,23602860
49451133,30197700
84769545,78942805
61915335,98643709
11814297,6194693
22821981,32668302
41826234,86915094
85823596,5850683
39334735,31102787
2768753,46184824
61968462,76553735
93983931,35063544
96836706,52636962
8530172,5237773
89473641,17325901
61889215,66015140
93150094,89174464
38036331,17190956
61542786,35337676
78927655,78942805
87644390,55977985
56116550,55709779
6749214,87690716
35193924,1689662
45643464,52167351
19273708,21656534
61401257,76385885
49011029,56446345
46253845,65419068
77277825,30650465
24650782,82616291
8891431,21631811
21718434,12166300
19406129,77794381
91306129,5209262
14577454,74955521
41791203,95220535
50268402,88548623
94920815,56579894
16320005,73894908
49535350,4901546
36207520,16071001
83793512,80397545
32216586,43837364
1077122,65991040
42830810,89174464
53704523,41714498
24842075,84502931
19507935,89426821
18701848,53680302
27446642,3632448
66227153,27824173
72244813,82108045
46234560,63774873
67388544,67032623
28115076,56988847
57813720,58130367
65741444,60046753
72394983,89887286
2276207,86597231
10013016,96785663
68871402,54325185
74255443,30897072
22773354,88662868
44501303,11888048
75477803,72422503
46514264,44271282
80582062,24992829
59092002,60693598
62416865,13108984
42583690,61192942
48962490,92884867
23655424,65504538
96183531,5558993
92219874,58100640
10864939,92453743
97347560,43441050
81473899,96717600
20546693,75278261
23664558,37112440
66990906,31796693
6300132,70004148
55852439,59404074
40340986,70276506
23494002,77918303
11731693,23497957
76364079,32840797
98652801,79028289
78279759,72519045
