cuit,ActividadPrincipal,tipo
2450314210396,Environmental consultant,SAS
6161568458591,Radiation protection practitioner,SA
8646173055284,Early years teacher,SRL
2507056980884,Radiation protection practitioner,SA
8741342127447,Field seismologist,SAS
2957350447851,Associate Professor,SRL
4385246021373,Customer service manager,SRL
316635550679,"Psychotherapist, dance movement",SRL
2127917608276,Estate manager/land agent,SRL
3708681501050,"Engineer, automotive",SA
5468676744488,"Geologist, wellsite",SA
1005545760671,Waste management officer,SAS
2007842906585,Hydrologist,SAS
6683821280619,"Librarian, academic",SA
5978350647624,Environmental health practitioner,SRL
8585350347671,Haematologist,SA
2922121582967,Production engineer,SAS
7925700202122,Freight forwarder,SA
3180526158305,Waste management officer,SRL
2953426786798,Software engineer,SAS
7329900975522,"Solicitor, Scotland",SRL
218265677935,"Surveyor, quantity",SAS
514737405965,Television floor manager,SAS
200743540328,Ergonomist,SA
3841773976418,"Librarian, public",SA
3206940332585,Make,SAS
764337652843,"Nurse, children's",SAS
5118341863785,Rural practice surveyor,SRL
7112510452544,Glass blower/designer,SA
865135151963,"Scientist, physiological",SA
9307469359185,"Production assistant, radio",SAS
4361748234703,"Engineer, technical sales",SA
8345017373541,Field seismologist,SAS
106545554428,Electrical engineer,SRL
2961593149719,Agricultural consultant,SAS
688355753249,Warehouse manager,SRL
9960838875569,Multimedia specialist,SA
4027633200963,Clinical embryologist,SAS
828286964777,"Administrator, education",SAS
616587759629,"Designer, jewellery",SRL
3960301985746,"Surveyor, land/geomatics",SAS
8287169534437,Archivist,SAS
2026034854803,Secondary school teacher,SAS
2637003951876,Archaeologist,SAS
9353411220896,Medical illustrator,SA
6708520999282,"Editor, magazine features",SAS
2207399257581,Catering manager,SA
651170113579,Stage manager,SAS
2156284940163,Food technologist,SA
2554258565815,Financial controller,SRL
489860498959,Museum education officer,SRL
541501676541,"Librarian, academic",SRL
4255066046152,Neurosurgeon,SA
5705699514725,Diagnostic radiographer,SA
7837825975583,Charity fundraiser,SRL
8237838030098,Location manager,SAS
3457228337319,Heritage manager,SRL
5585378648876,"Surveyor, rural practice",SA
4246133608190,Police officer,SA
4079525204764,Medical sales representative,SAS
4710013891200,Toxicologist,SA
6922089561151,Research scientist (medical),SRL
7699872433836,"Research officer, trade union",SA
3184655000371,"Psychologist, prison and probation services",SRL
5431472669798,Mechanical engineer,SAS
4900992501451,"Scientist, forensic",SA
4263892601665,Neurosurgeon,SA
6119094981910,Corporate treasurer,SAS
5074831542381,Prison officer,SAS
653366858492,Equality and diversity officer,SRL
4890687023694,"Scientist, research (medical)",SRL
4814738418730,"Exhibitions officer, museum/gallery",SA
5839052557403,Arts development officer,SRL
8840340108363,Volunteer coordinator,SAS
418732441362,Charity officer,SRL
629982446666,"Buyer, retail",SAS
4862728269157,Translator,SRL
8423865774106,"Education officer, museum",SA
4603604870165,"Teacher, special educational needs",SAS
8200768757132,"Engineer, biomedical",SRL
5977096888798,Special effects artist,SAS
2617528411723,Clinical research associate,SAS
7952228865096,Architect,SRL
4092005900978,Retail banker,SAS
444976369435,Land,SRL
3142140552737,Public relations officer,SAS
1416089896022,"Librarian, public",SAS
9531552605723,Ship broker,SA
4852739350865,Architect,SRL
3452451944988,"Exhibitions officer, museum/gallery",SRL
1438278802179,"Designer, interior/spatial",SRL
472482023074,"Psychologist, prison and probation services",SRL
1478108507197,Wellsite geologist,SA
