id_hora,hora_entrada,hora_salida,dia,id_antecedentes
5992023,05:44:39,07:36:38,4,99159407
9512951,16:17:25,18:51:47,4,26540116
2874441,23:25:52,23:50:50,1,16556495
2288420,21:11:39,21:51:16,2,81311681
4126728,06:01:34,20:04:12,2,62677528
6065272,00:37:07,04:01:32,1,1028208
6074593,18:03:58,20:36:12,6,53632764
6738591,08:13:43,12:23:23,4,84996311
3349787,08:26:19,10:01:51,7,92482306
7594668,07:50:26,17:13:39,7,83841102
9211746,01:13:39,11:06:31,7,98511831
666848,01:15:22,04:50:44,1,18092583
4095019,09:36:25,19:05:30,2,70294240
5235167,13:45:26,16:42:16,3,47526919
1958873,13:28:35,14:51:05,2,25595086
4836445,16:39:52,19:35:55,6,16159005
8171061,09:54:48,12:28:00,7,6592910
7305408,08:29:15,09:33:53,1,2422091
9140346,00:00:07,00:30:26,4,13669976
8272064,12:07:08,15:07:06,2,3550382
760720,17:17:56,22:54:24,4,42007280
2097964,14:40:20,21:14:15,7,6256809
4758422,04:15:59,05:22:14,2,8517029
5714618,17:18:07,21:39:30,4,8685412
2765866,22:12:08,23:48:42,5,43280154
6512464,13:15:18,19:50:17,6,89844774
6508959,00:50:52,01:13:14,6,33714049
8836216,09:23:12,14:20:14,1,78929349
8799873,10:12:33,11:45:57,4,64991965
6356392,03:55:52,16:32:58,7,49643776
5841341,14:14:31,18:54:51,2,99023434
2476699,06:48:41,23:51:58,2,37394512
5581553,06:15:23,10:42:56,3,51093574
8574502,04:47:24,15:12:02,3,57299761
2919285,18:03:42,22:07:59,4,60575497
8286436,22:15:28,22:29:29,6,33064304
6892168,08:45:02,11:17:48,6,57804828
465074,09:22:03,23:54:02,1,75375458
1496980,08:55:08,18:06:34,1,64936141
4132325,23:04:07,23:33:44,5,92985791
8711372,21:48:12,23:24:28,2,22618850
2447487,01:32:33,11:54:31,3,19440328
7926084,18:52:39,22:03:49,1,47681593
7708793,11:15:09,14:57:45,6,84186102
95875,13:40:46,15:22:17,7,6848035
9571192,00:34:25,11:02:56,4,35080339
6468927,09:52:49,15:08:59,6,39318492
3315060,06:21:25,08:39:00,5,81055379
824006,16:57:31,17:17:24,7,76754473
9464692,07:43:45,21:29:51,1,66044269
1177952,08:02:03,10:34:27,2,18709110
3682198,10:21:43,19:13:46,2,92620976
7374298,11:46:09,23:18:44,7,89230684
359643,09:29:08,21:55:53,3,13908719
1158943,06:04:49,07:26:18,2,12351981
2277260,07:51:57,16:21:17,3,57411124
618343,14:17:59,16:36:34,4,20873065
1278656,07:08:19,21:56:42,1,10252526
6417268,14:35:43,17:56:01,1,50505349
3696497,11:48:52,19:51:43,7,64056168
5020763,09:29:19,16:25:40,2,84792916
7296311,21:13:54,23:49:20,6,83836450
8081324,14:04:34,18:47:08,3,23241312
981742,17:45:23,23:02:36,1,69296826
3152162,13:13:48,21:22:01,5,9761401
7020457,08:56:07,23:12:53,7,74592314
3954639,19:54:22,23:07:15,7,73922094
5959567,12:35:25,22:53:20,6,86115917
4674604,11:34:02,18:31:18,3,68899326
8252798,10:12:39,17:06:39,6,80619224
8725737,03:05:19,12:29:04,4,96246890
3191850,21:56:53,22:04:56,2,37106550
5744004,07:35:17,14:51:48,1,51971459
6310021,18:45:29,19:04:23,4,71486750
7211810,09:17:04,23:15:11,7,12520823
8415732,13:17:45,22:38:52,4,35475362
9451510,06:41:52,10:47:05,1,42812531
7976646,18:17:26,20:02:02,5,4697599
1066557,23:58:57,23:59:46,3,33889126
3863675,16:24:07,18:00:48,3,55329665
8888507,15:59:55,22:35:38,5,78537101
9777087,13:06:42,20:47:57,4,35100154
7602848,05:16:29,06:46:36,7,36232379
9135693,09:38:40,23:12:50,4,92903672
3641435,15:49:34,20:25:15,3,94142528
5959556,16:46:26,23:01:43,7,29186801
8716707,03:56:24,09:22:39,7,74604822
5149225,19:28:56,23:31:33,7,24625518
4510509,07:40:33,10:43:20,1,4188197
6651067,01:25:41,10:09:49,7,22804857
1292370,04:25:19,23:25:02,4,25620231
4159843,05:47:57,15:37:32,6,83908771
5752262,07:35:05,15:19:53,1,53434817
8475833,16:49:36,19:41:21,4,64284091
1020276,00:35:41,06:39:55,5,36789982
6690754,07:54:36,08:44:59,5,32673889
4973576,23:48:33,23:57:11,4,34900295
9480581,10:38:06,20:34:56,1,28327795
3782307,21:12:25,23:07:43,7,78060486
7508675,21:36:22,22:36:57,7,45731034
6750245,23:38:43,23:48:20,1,35022287
2541177,21:53:07,23:17:22,6,23889115
4454347,04:20:10,10:22:43,2,70052616
6066383,09:39:01,23:48:04,5,45627246
7345235,21:22:39,22:30:35,2,41255538
