id_idioma,nivel,idioma,institucion,certificacion
26075,A1,Romansh,"Gomez, Davis and Williams",activity
54578,A1,Belarusian,"Sanchez, Howard and Hanson",political
24700,B3,German,Atkinson PLC,also
56027,C1,Haitian,Burton Group,energy
25703,A1,Oriya,Silva-Edwards,wonder
89385,A3,Twi,Hernandez and Sons,whom
54119,B1,Aymara,Miles-Hall,reason
45935,C1,Zulu,"Rodriguez, Rodgers and Rodriguez",material
67735,B3,Swedish,"Fuller, Anderson and Hodges",trade
75272,B3,Marathi,Figueroa-Lynch,rest
84113,B2,Italian,Davis-Hicks,language
15636,C3,Faroese,Diaz-Morgan,us
53985,C1,Samoan,"Jackson, Hernandez and Riddle",toward
66481,A3,Faroese,Cole-Thompson,national
84546,B2,Navajo,Wilson Group,it
91790,A1,Sango,Harris LLC,she
8206,A1,Sanskrit,Arnold and Sons,career
85812,C1,Lingala,"Valenzuela, Murray and Whitaker",join
68714,B3,Croatian,"Adams, Williams and Patel",especially
24389,C3,Kanuri,Lee Inc,wide
70566,A2,Persian,"Villanueva, Martinez and Casey",citizen
8248,C2,Turkish,"Jackson, Stewart and Carr",benefit
79174,A2,Oromo,"Little, Leonard and Gutierrez",skin
61250,B2,Breton,Davis PLC,stage
24387,B2,Sindhi,Ferguson-Lopez,how
12005,C3,South Ndebele,Yang-Randolph,official
87622,B1,Finnish,Young-Johnson,value
93872,C3,Kalaallisut,Lopez-Rodgers,he
35294,A3,Hebrew,"Lee, Reese and Sullivan",capital
20642,A1,Chuvash,Church Group,million
82078,B1,Sindhi,"Green, Miller and Arellano",bit
3800,C1,Esperanto,"Lee, Fowler and Smith",weight
59267,A3,Slovak,Burns-Burnett,change
44547,C3,Northern Sami,"Smith, Norris and Bryant",owner
13538,A3,Norwegian,Molina-Montgomery,to
24183,A1,Japanese,Glenn-Mccormick,when
31459,A2,Samoan,"Frederick, Taylor and Hill",while
84478,A3,Bengali,King-Lane,culture
865,A1,Welsh,Blackwell-Moreno,learn
12683,C3,Kalaallisut,"Mitchell, Long and Bailey",reason
55250,A1,Bambara,"White, David and Espinoza",someone
65732,C2,Bengali,Cunningham PLC,true
40484,C3,Guarani,Rice-Bryant,know
35120,C1,Kirghiz,Miller-Hill,seek
71775,C3,English,Peterson Inc,campaign
89454,A3,Breton,"Anderson, Morris and House",somebody
97939,B2,Avaric,Garcia Group,fear
57620,C2,Tigrinya,Rogers-Humphrey,thing
15915,B1,Galician,White LLC,expert
53568,C3,Bislama,Graves-Tapia,despite
39953,A2,Church Slavic,"Burgess, Schneider and Brown",street
52704,C2,Igbo,Mccoy-Burgess,style
5781,B2,Czech,Morrison-Mata,food
30383,A3,Fulah,Farley Ltd,exist
4199,B2,Irish,"Perry, Cross and Stone",reason
