CUIT,razon_social,id_domicilio
3536994245192,Daniel LLC,35883499
6373916206555,Pena Ltd,57565684
7333684679276,Bailey-Sherman,5498382
9819870299154,Smith-Baker,62305853
3502172489918,Frye-Collins,82312846
4944017192567,Thomas PLC,19115435
7841916887015,Obrien-Lewis,88160395
504210976169,Carroll-Mcdaniel,35059342
2878525259800,Cowan PLC,8698814
5973406761590,"Hernandez, Herrera and Combs",65232703
2701856036420,Saunders Ltd,50359804
6180718943988,Gill Group,83035445
6294789192773,Payne and Sons,73766834
6153224705157,Wade-Parsons,35848832
5602465504636,"Barber, Gonzalez and Terry",79046572
5095218947629,Briggs-Peterson,72814285
3949907654757,"Diaz, Ramirez and Curry",65005317
289209391630,Kline-Miller,92218895
457237422237,Moreno-Ashley,76824006
8462412891171,Calhoun PLC,48758371
1652119991742,"Martin, Mcclure and Baldwin",66410881
588877484610,Hood Group,99899264
3671898247310,Oliver LLC,70468890
6031613888713,"West, Pollard and Carpenter",77661330
8736970793822,"Baldwin, Acosta and Rice",72677194
5330909889406,Tucker-Lawson,86067480
3370698770803,"Hall, Hall and Cox",57604746
9482544854388,"Fox, Davis and Christian",74091058
7628325826779,Taylor-Newton,78765607
6495094905052,"Bennett, Ferguson and Ross",97866003
8003831660765,Harrison and Sons,82239978
4900992501451,Lopez Ltd,63898043
5399260497169,Taylor-Harris,90850204
5222354322143,"Hatfield, Smith and White",60164225
7606697019592,Booker Group,76347461
1374464564103,Clayton-Ali,15805626
2517630378254,Montgomery-Logan,73784126
7680860560298,Melendez-Reynolds,13851375
8889937811410,Wells PLC,75160972
9905600953973,"Bird, Burns and Burke",14539165
2037849688040,Hunter LLC,25409415
8033970444957,"Woodard, Shields and James",23544402
2661525143248,Odom LLC,44559185
6049173189107,Thompson and Sons,81347610
8648180257233,"Johnson, Calderon and Rodriguez",71537919
8614376056585,Johnson-White,40139482
2699405810424,Stokes-Parks,65943341
668994371377,Walton Ltd,10532235
5393047063223,"Garcia, Booker and Bennett",60921305
8486607510253,"Jackson, Stewart and Cross",95966410
8061188379030,"Russo, Thompson and Ramsey",49457016
9465741116655,Smith-Campbell,70231661
8488222450979,"Hernandez, Lee and Schultz",33280538
870302694892,"Walsh, Banks and Fox",10441656
7235937381856,Cole-Clark,13765717
9017901587702,"Shea, Carrillo and Simmons",85975266
6044923986235,Hogan-Morgan,6303688
8891369566447,"Solomon, Thomas and Jones",30049720
7668135374228,"Duran, Dunn and Mitchell",8114961
3933949690340,"Simpson, Wallace and Shaw",33286480
4270230693696,Harris and Sons,38861700
1019564687764,Burns PLC,68261060
8682187680074,Mendoza-Hudson,42419310
52622876254,"Hernandez, Cannon and Matthews",16904060
4916732345736,Conley-Adams,28273689
5370928569517,"Nelson, Harmon and Kirk",93432025
1439584358124,Brown Inc,7492281
5017603086394,Davidson Inc,97058443
1665590849215,Griffin PLC,39145393
7967341809956,Jones and Sons,16237473
9732150387099,"Williams, Austin and Collins",25870404
1671736880353,Turner-Cherry,47424966
9352866339910,"Sexton, Douglas and Knox",54476509
5948983561686,"Hall, Frazier and Lane",4740061
8306882988964,Bell Inc,90150868
5770106514238,Munoz-Lester,13884248
6774188126580,"Smith, Patrick and Williams",69162024
1566806587952,Dyer Group,41905156
202349730087,"Banks, Gardner and Wright",5979423
8287169534437,Morris-Rodgers,90548241
3003178749218,"Gutierrez, Mcknight and Jimenez",89451382
1559480923595,Garrett-Shields,77359044
3082232843362,"Burgess, Herrera and Pace",38636306
1826321207151,Mccormick-Meyer,10006665
8911380528130,"Moss, Rubio and Alexander",5524839
1192301930936,Raymond-Ferguson,12858269
2800257921250,Sloan and Sons,8204777
9228369250986,Williams-Figueroa,75524842
2019485224324,Blankenship LLC,10314762
9554320796847,"Porter, Bennett and Cox",51309720
8915366528453,Rodriguez PLC,27958425
4255066046152,Stanley Ltd,57786384
2044495074367,Martin-Kramer,52755716
3615602382598,Robinson-Smith,71620951
1691489851437,Fowler Ltd,42636400
1618328850358,Romero Group,7489932
8623956177823,"Garcia, Small and Lee",12764768
6324719938185,Webb-Perez,71835000
2149703180650,Vincent-Gallegos,71151627
757876441008,Wong PLC,10665752
976107930445,Hurley-Herrera,84762671
5912648132151,"Russell, Conner and Reed",14235118
3875710401028,Allen Group,91936076
8766373209194,Roth and Sons,27064140
2210114669267,Olson-Frank,10737165
7695514973409,"Avila, Rogers and Santiago",93484380
3684781711326,Duncan Ltd,49525394
5181146468089,Sanchez LLC,4430459
8421380362047,"Miller, Davis and Barker",74887783
5508152718532,"White, Stevenson and Taylor",63255530
1925433846584,Smith-Castaneda,49257758
9128821489253,"Newton, Harris and Long",28661253
7890768220993,"Cruz, Morrison and Bryant",21375160
3457228337319,"Brown, Benson and Rhodes",6487122
3362504180993,Holland-Holland,94518366
7481874151542,"Lee, Kelley and Stuart",90683934
5534077587255,Taylor-Wade,14032211
5221682606617,"Fox, Diaz and Todd",54370443
6737659525336,"Pierce, Johns and Jones",83602554
7298671022609,"Brooks, Nguyen and Perez",72531483
3947374116222,Hobbs-Dillon,36533116
8198977822243,Spencer-Fox,24973231
2535851472603,"Lin, Hunt and Fernandez",32113373
9194070967916,Meyer Ltd,20198852
7129052786062,"Reyes, Browning and Harris",48856436
5207488969914,Malone-Jones,30985291
9279452035093,Campbell and Sons,47371613
7078311409811,Evans-Davis,21539020
9720025069080,Young-Kline,80872186
329883033355,Jimenez-Gill,36337208
6182635192487,"Nelson, Leonard and Jordan",54777169
3539510164117,Diaz Group,44902573
1498552690857,"Neal, Gibson and Stone",80339187
5232757147970,"Snyder, Banks and Johnson",42654503
7509136066709,"Garcia, Brown and Myers",38865511
8644770563749,Hodge-Wright,49550118
1618966434142,Reynolds-Cruz,20075461
3997182174143,Smith PLC,7517196
4194163764744,Evans Ltd,82740247
70439489216,Sims PLC,815586
8896322974049,Gross-Moran,7094095
283831657520,Carter-Preston,78154571
9181331073592,Cruz-Gutierrez,82155492
5703159188914,Bell and Sons,24133461
656631984759,Collins-Miller,6236335
966423884376,Mitchell-Jacobs,97474362
2718060794354,"Fisher, Austin and Delgado",66643186
1569159392295,Bernard PLC,72959486
3532090896482,"Green, Johnson and Jenkins",72131274
2635760513095,Taylor Group,40350726
525062174223,Hall-Young,86619249
3047833273938,Miller PLC,75706440
9612406905822,"Garrison, Wood and Fitzpatrick",23778035
5133535494202,"Reed, Harris and Hudson",69652067
4579551115417,Potter-Fox,26981317
7307217623727,Kelly-Gallagher,64351870
529486939781,Trevino-Arnold,21118799
1410425232749,"Singleton, Lowe and Gonzalez",85303749
9020934088891,"Shannon, Barron and Davis",15700101
102628768524,"Thompson, Valentine and Hernandez",80391540
6174604899284,Lawson Group,66317173
7270350197037,Roberts-Evans,23890096
6843281635505,Ochoa PLC,78004148
9198142381666,Warren Group,5643642
6576392009121,Valdez Inc,85403213
5848343160877,Diaz Ltd,2653975
4179653917380,King and Sons,30571138
216460971193,Clark-Fields,89871113
5768488431554,Williams Ltd,26976123
9141270402052,Elliott-Ross,43072610
6282062582121,Harris and Sons,90402820
5757434916492,Russell-Clarke,57262015
586752273076,"Morales, Nielsen and Houston",1611188
4058262829175,Kane and Sons,14478567
4842418550535,"Santos, Gordon and Vega",33868769
3435190319707,Woods and Sons,96465093
6244709801750,"Roberts, Graham and Garcia",9696656
7341433933560,Bell and Sons,76216733
6140628562123,Simpson-Clark,72746313
4389408870420,Black-Clark,28053110
8439265797992,"Green, Mann and Ross",56337665
4590899881303,Pruitt Inc,24751677
8181690269306,"Dougherty, Parker and Maxwell",25447492
6462559894757,"Kidd, Serrano and Mahoney",72106394
8072884642028,Russo-Lee,7241403
7346149520850,Gonzales-Thomas,72476628
4658012361616,Rodriguez-Mason,39553945
6967250557860,Tucker-Garcia,53689886
6514378564793,Singleton Inc,77449800
4398905010826,Brewer Inc,78744648
4481795089731,Barrett-Hernandez,1426323
7155472987156,"Williams, Graham and Martinez",72413424
5224816321232,"Haney, Fox and Brown",23419690
8006326201939,Hernandez PLC,29592840
9412596362382,Duarte Group,56127106
7696401872716,Turner and Sons,46083375
6653397450872,Valenzuela LLC,7314541
3553513698455,"Soto, Ray and Summers",2060661
4944805936706,"Harrington, Copeland and Grant",54942014
1612467953454,Benitez Ltd,82689665
3419905201827,"Cobb, Munoz and Jacobson",59468148
7299129932073,"Bates, Martin and Smith",8188686
7762418084475,"White, Johnson and Carrillo",53883591
5226481381598,Lane-Chavez,48802180
3212816309826,"Armstrong, Hampton and Wade",59622656
8900871341764,George-Dunn,12210815
6281584352058,Buchanan-Dennis,65244027
7995146856483,"Wilson, Taylor and Thompson",49470861
1211126684052,"Bryant, Farrell and Gonzales",70832810
2142884359466,Velazquez Ltd,25494715
2379852154154,Garner-Martin,79691249
3083164891475,Pittman-Singh,81550954
2922121582967,Fitzpatrick-Miles,24072337
3373175484016,"Williams, Mathis and Phillips",63749574
5343911717734,Gonzalez and Sons,46776270
4676700788823,Farmer-Howe,80488718
9146617472753,Bailey Inc,79136971
8115247924169,"Oliver, Bennett and Gonzales",75103290
2848254458297,"Boyle, Hamilton and Flores",93905117
1062657719038,"Barnes, Mccoy and Daniel",7492281
3622063303991,Reyes-Nguyen,21233807
6371774899221,Johnson-Thomas,5424253
6629544091388,Pierce PLC,42220427
7602571958258,"Leonard, Howard and Fuller",78824236
7406806372047,"Cisneros, Garcia and Jefferson",76376230
6618512866155,Farley Group,72939163
8635155404037,"Stewart, Morris and Rodriguez",57056384
4095938914491,"Fitzpatrick, Vargas and Huffman",46505449
1303289400605,Ibarra-Stone,30239270
3118363383796,"Montgomery, Chase and Anderson",1862841
3363902566539,"Walker, Scott and Kline",19271569
4225254843265,Costa-Moody,28237287
2673501051199,"Johnson, Spencer and Craig",36342593
759304920998,Brooks Inc,4472223
9249407602835,"Pacheco, Ross and Perez",62570247
1475524870811,Martinez Group,30315539
2225350169315,Harvey-Page,70937525
3040044764433,Skinner Inc,63213692
1363893783889,Hunt-Roberts,33344845
8476702926960,"Anderson, Clark and Moore",73466283
8363352260455,"Brown, Rollins and Carr",78343763
4409584761540,Shea-Moore,32714309
3536533903643,Gardner-Smith,97206150
2779252078323,Jones-Villanueva,63750747
8486268276017,Richardson-Neal,93071449
1173019438409,"Burns, Osborn and Wright",27650578
3880196518932,King and Sons,33888339
6721814098866,"Greer, Cooley and Howard",33381369
2429757499398,"Graham, Jacobs and Adams",71342396
9477834901347,Parker Ltd,38202147
4598659514351,Taylor PLC,44154048
6477372495895,Jordan Inc,6346240
3441927841174,Taylor-Evans,96720233
2444845443459,"Yang, Montgomery and Bradford",40805019
6672161709810,"Jackson, Dickson and Rivas",51351060
298217132762,Rodriguez PLC,84876062
5774591321374,Hartman-Espinoza,63873305
4189890049535,"Watkins, Barton and Murray",44226898
3880052328914,"Lester, Brown and Kennedy",74532795
8499244072295,Collins and Sons,13832493
6323637752767,Gomez Ltd,10027535
2312100607204,"Esparza, Sanchez and Jones",26592294
1076961996532,"Thomas, Estrada and Lee",22986377
7601439072851,Lopez-Padilla,67850332
826346151312,Williams-Jackson,48020873
7136006832450,"Lozano, Brown and Jones",6711046
7164350434693,"Ritter, Owen and Johnson",46884788
2706293092190,Mitchell Group,43869644
9258105588508,"Moore, Kelly and Wagner",53089405
26238529611,Harris-Garner,53118582
3394661831473,Mendoza Group,2209497
7256544632995,May PLC,90044827
278496897933,Smith-Jackson,5005748
6690234224491,"Davis, Smith and Taylor",15333867
4103634586258,Mays Inc,99914206
3167636793484,Lee LLC,50326208
7153229411171,Brown and Sons,74140667
6821112649040,Casey-Lee,55643818
1751480462819,Poole-Cox,47433833
4445844237380,Neal-Ryan,84097265
3434268063466,Webster Ltd,66796246
5542297950566,Jackson and Sons,31508169
8284492278614,Smith LLC,41248348
5328046122550,"Smith, Landry and Horton",99532659
1102792991860,White Group,85685974
7256734178031,Deleon-Freeman,8809792
3895743787939,"Jenkins, Ruiz and Adams",33572742
9847290238997,Goodwin LLC,65855970
9624037201542,Wong-Stephens,45980496
9764654019148,"Tran, Johnson and Brown",34507233
1453714368246,"Jackson, Hansen and Coffey",4572238
2920090090374,Taylor and Sons,79015124
9145547519674,Brown-Gray,57501759
3703668658000,Neal Inc,25840742
2472282120407,Compton-Doyle,12032399
7779867103424,Lopez-Gibbs,34444774
9475686655925,Bowman Group,9596293
4005832483424,Ayala and Sons,23851656
4103940900468,Logan Group,50190703
554780112831,Mendoza-Manning,58892766
4710968394415,"Lowe, Clark and Wilson",63394156
2036001398126,"Barton, Reyes and Moyer",16032641
5388176603486,Estes Ltd,26050697
8132928944533,Keith and Sons,90331017
2026034854803,Pacheco Inc,31469332
1728311440054,Wright and Sons,24947970
5310799494315,Lopez-Pham,74760641
5084002527614,Osborn-Mccormick,72412878
9911459172293,"Perry, Wright and Wilson",30072113
6723752613154,"Clark, Mcdonald and Smith",59701852
8261400020539,"Nelson, Mccormick and Roman",3449048
1774404144295,Powell-Wagner,12338359
5963972439271,Spence-Richards,23973726
3326012194572,Potts and Sons,39572398
7045582254751,Nguyen-White,64117156
3615492368405,Stevenson Ltd,16831660
4365370790146,Griffith-Garcia,75927521
3110738256556,"Short, Mahoney and Cobb",96064645
2627858511848,Harris-Hendricks,12109686
596041142268,Harris Group,60846047
3709972414154,Young Ltd,3779381
6769577571064,Butler LLC,66599237
8508342171373,"Howard, Schmitt and Leonard",54508900
8462759333051,Steele Ltd,4533797
9696044346590,Warner-Ball,78128601
5879009352961,Jenkins-Brady,17571042
6338002443254,Murphy Ltd,33266534
2615739312809,Schultz-Hickman,74790954
3141792733364,Kerr-Davis,26268923
6074741708320,"Wilson, Pollard and Simmons",27064140
6035772305564,Martin LLC,37926615
9915366740097,Walters Group,97715955
5120839700092,Ward-Gutierrez,22041175
7508552618392,Carter Inc,27377839
9686211583619,Marshall-Garcia,50361090
7702916503815,Wallace PLC,48030498
9576793727507,"Sosa, Black and Diaz",96639576
4637636595026,Romero-Harding,96952380
551869063697,Myers-Saunders,10623505
6320259481036,White-Thompson,78685361
1882651295000,"Long, Adams and Golden",94782083
51250458922,Williams-Perry,14024881
5031955676020,Davis Ltd,83613933
4582419411601,Smith PLC,26730891
8407310246611,Romero-Powell,69504937
2249090576364,Morgan-Cameron,62901764
7423812036974,"Benton, Turner and Robinson",13512470
5460018966195,"Carlson, Johnson and Kane",1255983
4698879536971,Alvarez-Wagner,43775190
3365809696310,Payne LLC,62869732
9190149500868,"Hill, Rogers and Johns",18339972
5170917217406,Carr-Jones,72797318
9540276843775,Garcia-Ward,94633800
8836585309429,Johnson Group,45564435
8876432104079,"Page, Mccullough and Alvarado",17397598
4982782489069,Smith-Young,49869640
6215051845323,Reyes Group,24279032
2619064168105,Martin Group,71692265
2891441676409,Williams and Sons,65553416
