id_pasividad,regimen,fecha_inicio,suspendido,causa,legajo
37667834,Extraordinario,2010-03-12,True,Feel heavy during enter fight area stop.,80651793
208980953,Extraordinario,2021-11-22,False,Consider especially fight member.,78578879
645569344,Extraordinario,1977-05-30,True,Always source western how.,9778654
227918618,Ordinario,1992-04-14,False,Bag this couple message street like.,85998341
614872871,Extraordinario,1994-04-26,False,Chance three artist.,62238748
213383361,Ordinario,1993-08-15,True,Western strong condition nation value follow inside name.,63162102
17403696,Extraordinario,2007-05-04,True,Power form option beautiful score continue five class.,86413715
978323579,Extraordinario,1998-04-09,False,State avoid game week.,69884719
722188638,Extraordinario,2008-09-24,True,Step suffer quality chair charge series tree.,5296930
357633436,Ordinario,2001-09-14,True,Cover everything study someone air develop federal drug.,78917504
884985831,Ordinario,1986-04-14,True,Process scene low sit near account energy.,3634873
442638284,Extraordinario,2002-07-30,True,Able each office short.,54491828
578066453,Ordinario,2017-03-11,True,Fight traditional move choice.,76364773
563679951,Ordinario,1986-01-09,False,Institution summer understand power.,17061422
138766821,Extraordinario,1977-04-20,True,Prevent himself station.,64194196
628648732,Ordinario,2007-02-05,False,Treat me politics old world.,44901433
31567419,Ordinario,1989-05-16,True,Data would information such.,84545414
648386556,Extraordinario,1999-04-26,False,Everything and him serve agent.,87235358
747161668,Extraordinario,1990-05-18,False,Necessary here stand water.,89895414
93504610,Extraordinario,1997-08-10,False,Chair meeting particularly even garden total far.,48218328
806102643,Extraordinario,2024-04-05,True,Guy phone sort kid protect.,26811250
306903128,Ordinario,1993-02-11,True,Forget production whole piece him moment main.,25835722
234844867,Extraordinario,1979-03-22,False,Who bad skin age.,73476138
279327121,Extraordinario,1988-11-10,True,Thought forward successful debate suddenly key part control.,12765837
982848452,Extraordinario,1978-03-12,False,On party finish matter.,55902087
591709295,Extraordinario,2010-06-16,False,Safe enough current morning beyond.,32391687
905802524,Extraordinario,2009-09-30,False,Affect space future state four.,96201999
642198194,Ordinario,1991-12-13,False,Doctor economic now station individual feel enjoy draw.,45005449
915285514,Extraordinario,2018-10-09,False,Though sure owner beautiful low.,26161001
409265052,Extraordinario,1974-09-21,True,Walk conference should south two trade save.,36000787
309197658,Extraordinario,2016-08-18,False,Pm appear edge interest world anyone.,26548681
48441004,Ordinario,2002-02-23,True,Cause trade require suddenly city officer whole.,88848114
9028176,Ordinario,1992-07-04,False,Item reflect step seven plan anything would.,14220109
738071333,Extraordinario,1993-11-23,False,Share whose price soon cell no.,99968165
998555342,Extraordinario,2013-03-10,True,You back product environment.,81370122
574940917,Extraordinario,2018-05-04,False,A finish capital rather learn.,62567091
434430516,Ordinario,2001-09-15,False,Step real ability usually measure unit similar.,34320076
191355985,Extraordinario,2002-11-15,False,Where its still network total.,17844736
40045563,Extraordinario,2024-02-04,True,Natural nearly between president.,14865656
312863221,Extraordinario,2009-04-07,False,Level security thousand week military arm author.,40007150
186263862,Extraordinario,1981-05-23,True,See success oil main television two.,19825139
898976415,Extraordinario,1993-05-30,False,Dark sea without challenge coach everything.,82401486
764291354,Extraordinario,1994-09-29,False,End someone standard investment early visit reduce.,80478469
825416513,Extraordinario,1971-08-30,True,Little right capital blue.,33718726
944076920,Extraordinario,2017-04-22,False,Serve guess affect instead movie cause less.,5281817
304274119,Ordinario,1993-04-14,True,Student long expert method write card.,22931056
701261371,Ordinario,1986-04-23,True,Soon news measure specific lot be less.,61755853
19624431,Ordinario,2007-12-04,True,Discuss mouth itself reduce third near either.,33648468
139949874,Ordinario,1974-06-21,True,Go range ready behind.,24064192
279476111,Ordinario,1972-12-11,False,School room of imagine card artist.,39429532
766114311,Extraordinario,2013-07-05,False,Forget analysis thing heart low.,68025075
888385426,Extraordinario,1982-10-15,True,Either including sound board imagine better.,18382720
959179547,Extraordinario,2014-07-16,False,Back detail hope six happen themselves.,41421235
601863030,Ordinario,2012-07-07,False,Per run realize chance challenge adult responsibility.,9890198
464793774,Extraordinario,1990-03-06,False,Training conference feeling smile.,63740507
83721383,Extraordinario,1986-02-24,False,First find another right.,72156428
253603922,Extraordinario,2017-04-08,True,Eye against read indeed charge left future.,16080273
97363477,Extraordinario,2017-11-14,False,Class open city card.,43859997
11800623,Ordinario,2018-03-23,False,Activity bill lead worry operation condition court.,95479154
245925251,Ordinario,2009-07-18,True,Month walk develop establish.,80760866
397504440,Extraordinario,1973-07-02,True,Upon anyone service most however wear.,51055771
437570219,Ordinario,2013-02-17,True,Indeed might next able.,71434030
651280105,Extraordinario,1991-10-22,False,Audience middle address with against pass.,95046019
612571348,Ordinario,1992-06-03,True,Wind cost camera.,85145537
411240049,Ordinario,2016-12-19,True,Participant car check today left consider glass.,25136173
136384763,Ordinario,1990-06-12,True,Reflect couple when fund compare million yet.,74160523
58370280,Extraordinario,1991-01-05,True,Bring red north market.,55630542
82414955,Ordinario,1988-05-03,False,Look resource beautiful notice us know around positive.,97695182
739750791,Ordinario,1993-09-07,False,Weight kid stay it.,88747089
245327997,Ordinario,2003-09-17,True,Door walk state all choice energy economic morning.,9500979
86514884,Ordinario,2009-06-12,False,High color college conference.,85237084
383692138,Ordinario,2016-08-04,True,Space direction force animal seven customer join.,17301222
623789471,Extraordinario,1996-05-22,False,Find now ability wall visit every condition age.,53774991
672980844,Ordinario,1989-12-20,True,Him around between.,84117189
901152330,Ordinario,1974-08-01,True,Even include page production.,8091574
808759089,Extraordinario,1998-03-06,True,Exactly level turn simply character tell.,71214738
656476789,Extraordinario,1994-05-17,True,Behavior production industry week.,66953782
708796256,Ordinario,1998-01-10,True,Specific white drop lay whatever.,39787090
811859092,Extraordinario,1982-08-10,True,Control thought protect teach technology.,48334732
894634649,Ordinario,2017-02-22,False,Card voice sister nation act.,44534146
602054641,Ordinario,1977-10-29,False,Unit view citizen adult result.,86915044
355910646,Extraordinario,1983-08-31,False,Side simple save decide nearly with agent.,63767739
784746569,Ordinario,2017-09-06,True,Media every call tree rise among.,82530129
321906556,Extraordinario,1972-10-05,True,Between friend finally able describe.,23392909
846078264,Extraordinario,1980-07-15,False,Government population bag herself.,31992375
187631673,Extraordinario,2010-10-06,False,Conference particular simply reveal dream.,32038992
502390870,Extraordinario,1988-08-05,True,Quality join speech leave deep somebody understand.,9862409
124285327,Extraordinario,2022-10-10,False,Well age or talk three.,80825778
953505718,Extraordinario,2021-11-04,True,Page treatment hold budget wonder type.,84817676
701920777,Ordinario,1992-06-01,True,Store campaign amount policy close.,66378779
81838007,Extraordinario,1972-10-29,False,Just look art authority drug character truth role.,24013572
997135145,Ordinario,1977-11-08,False,Catch discussion dog even time land happen.,29044556
522227554,Extraordinario,2016-12-07,True,Statement financial who close.,29916976
470581491,Extraordinario,2020-06-15,True,Newspaper successful up hand guy member.,4297048
569824879,Ordinario,2016-07-10,False,Move great kind simply friend.,71446212
472081625,Ordinario,2002-07-19,False,Thus decide fish from they general value.,34684566
880211425,Extraordinario,1987-04-27,False,Another call involve up against.,24825641
431674975,Ordinario,1986-10-01,True,Situation hold house produce sign.,53070096
348078340,Extraordinario,1975-11-29,False,Easy message summer possible visit miss position.,52808484
562119700,Extraordinario,2021-11-07,True,Impact nor contain father size world easy.,78054649
18203470,Ordinario,2000-07-24,True,Opportunity see risk daughter possible.,80275116
525939043,Extraordinario,1995-10-16,False,Avoid interest table song indeed stage generation choose.,39021401
223646678,Ordinario,2020-01-07,False,Defense big before.,93333860
591783627,Extraordinario,1987-02-16,True,Which approach trade director but concern.,77006927
394417563,Extraordinario,2010-07-05,True,Statement evening almost peace after three.,6156569
736056865,Ordinario,1990-12-21,True,Coach standard quality when without.,99246836
288541221,Ordinario,1982-12-23,True,Military listen if site.,15556205
606986150,Ordinario,1991-08-18,False,Pm low least speech.,51116699
633015304,Extraordinario,2015-09-19,False,At spring loss participant.,44938599
251522873,Extraordinario,1980-07-06,False,Nor manager become increase.,90210382
411176383,Extraordinario,1973-10-16,True,Quality I choose show bring.,35386437
443330069,Extraordinario,2009-08-30,True,Later by question officer add old education.,10530510
96412240,Extraordinario,1984-03-28,False,Color front middle key real.,24144846
973548926,Ordinario,2024-05-28,True,Shake third people soon near common natural.,23269938
169863994,Ordinario,2006-05-23,True,Third notice break smile small.,66770839
675648058,Ordinario,2000-07-10,True,Floor system fast.,45450343
264166101,Ordinario,1970-08-18,True,Car develop impact grow minute human.,27146755
8566244,Ordinario,1981-06-29,True,Almost government speech compare husband long.,39190258
132095996,Extraordinario,2010-11-30,False,Decide across stop collection clearly.,12898651
541072431,Extraordinario,1989-09-01,False,White book field situation.,98709020
834127083,Ordinario,1999-05-10,False,Him election detail.,94503882
834176509,Extraordinario,1983-09-21,True,Guy service large high live always like.,35840753
875647929,Ordinario,1987-03-25,True,Can charge certainly down rule.,69465839
947975325,Ordinario,2016-01-09,False,High skin sell number.,96678313
830563795,Extraordinario,2000-01-06,True,Space alone someone case.,93992739
