idtitulo,nivel,nombre
62771,rise,pull
61184,go,other
74164,rise,without
92378,natural,truth
10485,tonight,movement
13765,leave,point
15569,step,class
44419,against,your
51676,number,detail
81833,discover,return
89440,final,issue
20351,discover,seek
90789,meeting,assume
69660,be,left
188,much,short
18812,consumer,condition
12504,stage,pass
87152,form,blood
7888,organization,since
88527,apply,that
77334,weight,such
72491,business,keep
53873,trial,house
55234,speak,event
12781,sister,explain
45785,responsibility,listen
64910,rather,fund
98666,industry,paper
40095,check,town
66777,affect,should
62998,tell,first
19114,man,scene
32804,strategy,road
16656,down,experience
26566,discover,senior
19393,pull,situation
78739,possible,chair
45019,morning,father
27156,offer,brother
2407,last,dream
44412,sell,professor
16871,upon,family
97368,security,mind
82243,old,themselves
90662,feel,son
89413,would,sound
44637,discussion,camera
98143,continue,character
82777,gas,role
1040,thus,huge
8210,manager,team
53800,ball,throughout
28958,relationship,everything
77565,born,statement
77555,those,list
67375,magazine,kind
84476,issue,system
87256,watch,security
87356,space,surface
31864,civil,civil
50228,into,material
64927,feel,resource
78102,sell,up
95344,hit,work
68673,collection,beat
84079,claim,into
86370,structure,policy
15170,similar,course
19145,certainly,sister
2739,attack,camera
85037,local,organization
40158,thousand,next
91481,yard,add
84260,professor,tax
27918,anyone,member
17983,cover,old
62905,expect,next
35010,eat,decide
14507,cell,military
13967,fish,test
81629,son,nearly
31645,move,market
76410,as,need
20679,minute,parent
56319,manager,style
30049,wrong,bad
28039,grow,letter
90274,success,person
45008,final,somebody
13657,hour,above
70062,heart,box
16802,effect,nation
61619,thousand,term
8787,hotel,chance
93234,environment,create
13914,rock,want
42997,wear,eat
75640,partner,seek
88903,site,number
57448,yeah,option
36520,for,reach
83802,manage,personal
7065,truth,coach
84381,body,Democrat
23909,address,sit
76355,analysis,type
31930,war,focus
4615,black,computer
12069,finally,top
48495,president,necessary
84803,laugh,maintain
38624,year,beat
50839,cultural,nearly
87546,pick,skill
22373,statement,dream
92691,heavy,economy
76544,only,imagine
50562,suggest,return
71309,half,guess
54437,scene,operation
87090,in,production
47107,look,practice
64747,friend,here
217,conference,might
93850,interest,various
42485,operation,knowledge
61436,just,money
61113,attorney,soon
72645,drug,society
31758,current,middle
76603,simply,either
86391,population,where
30123,forward,one
31475,a,sure
52128,life,meeting
77059,get,brother
78537,coach,reach
15376,owner,nation
33500,newspaper,season
71106,behavior,no
25781,exist,organization
42564,improve,national
10370,official,eye
27042,list,risk
79488,fall,feel
98080,full,how
69826,could,role
89299,decision,begin
87461,meet,occur
10891,traditional,tell
39936,my,where
61981,leave,claim
20794,because,oil
55229,great,oil
93380,family,worker
21226,class,hard
56120,drop,then
23063,laugh,believe
91783,life,PM
76933,like,growth
40776,few,real
32846,quickly,debate
13615,suggest,field
28881,sign,ready
13455,understand,shoulder
66675,about,time
52848,turn,them
87440,as,authority
37993,move,discover
7761,both,behavior
56377,appear,occur
32801,save,these
56781,federal,control
95025,right,language
296,son,account
17027,truth,work
55894,boy,call
96286,perhaps,southern
88211,realize,free
87222,program,fire
64069,during,though
53186,break,quite
19641,remain,civil
48452,standard,half
28354,alone,something
85164,hit,bed
3926,follow,adult
51444,allow,our
90405,skin,nature
3788,understand,camera
74690,seat,western
17877,general,word
44435,word,teacher
93141,apply,line
81108,its,population
61427,term,now
78773,difference,its
11644,here,security
86488,bad,opportunity
56715,reason,group
95646,tough,treat
80156,because,task
45447,want,actually
32182,house,nor
39261,guess,up
54262,adult,study
76992,available,kitchen
84212,six,reach
52732,he,threat
4513,walk,north
17431,change,letter
32848,argue,money
43418,movie,sea
36704,some,including
75657,order,song
98578,throw,ago
59729,read,raise
20336,or,something
46462,practice,beyond
84413,heart,edge
56859,walk,performance
49995,his,need
82852,system,education
34544,meet,big
7435,produce,drop
24879,travel,plan
39305,member,enough
3131,others,north
77829,for,myself
84941,run,past
21071,low,reason
39755,but,compare
17334,build,hospital
99528,begin,seem
39523,cold,campaign
87665,threat,weight
24034,draw,page
79520,book,show
27217,national,fight
59961,magazine,letter
85026,play,over
71166,face,either
34331,time,movement
24504,culture,share
33393,gun,actually
29422,cover,star
192,rest,benefit
76653,door,a
87119,economic,could
41850,once,stay
91516,economy,stock
2124,tend,seek
54502,blue,white
37520,current,fine
47055,become,trade
20975,glass,national
665,stage,always
71903,have,leg
52772,professional,together
37090,through,right
10748,these,could
23330,suggest,fill
2588,heart,process
71794,south,coach
7749,too,up
13300,woman,hear
25539,fear,her
27021,blood,staff
63283,into,half
68048,music,produce
99137,PM,face
60862,treatment,edge
76942,continue,form
6055,radio,music
69693,suggest,such
3329,third,mean
45689,save,great
82694,against,wonder
91747,else,feeling
15444,represent,late
18601,campaign,career
15712,out,cause
17976,economy,west
88180,anyone,gas
54716,include,consumer
3397,summer,ability
44135,usually,course
92716,take,call
17980,hotel,issue
93161,tell,hospital
89007,reality,author
66928,so,money
11388,sign,force
62720,participant,score
58387,statement,increase
16896,wrong,town
74683,PM,during
44700,paper,strategy
66736,more,his
41365,no,game
69377,wrong,worker
32557,part,class
24216,card,example
3625,material,leave
69726,story,personal
65013,door,language
63610,various,range
18194,decade,interview
36208,agreement,guy
63732,note,in
45550,draw,own
43799,meeting,claim
87481,foot,arrive
16828,specific,attention
1832,side,recent
26434,TV,eat
90245,notice,level
42344,great,professional
39594,author,behavior
7821,sport,point
56201,within,morning
11214,room,trip
56669,high,level
902,feel,color
99066,floor,beautiful
10743,street,crime
67975,plan,always
7045,field,must
25055,data,American
93531,exactly,together
23238,receive,law
75508,people,by
7186,practice,lead
32859,firm,trade
61761,magazine,travel
96169,shoulder,price
22024,gun,out
73280,physical,ago
13989,again,none
80281,ask,allow
30430,understand,present
23741,his,choose
7937,through,language
86773,between,success
53841,bed,business
83425,health,nor
23365,seven,whether
47252,space,small
33918,control,free
45332,perform,computer
69200,never,before
88571,beat,agent
98824,reason,billion
5036,unit,tend
69466,buy,simple
38706,few,small
69483,catch,sit
97795,performance,individual
65005,can,bring
92708,not,gas
77514,people,price
91053,remember,above
50560,sea,author
45877,involve,quality
78569,large,lead
74752,because,care
17761,us,color
23469,indeed,every
12493,magazine,campaign
67820,style,set
87860,option,if
45280,this,meeting
83005,thought,not
28898,bill,pressure
53498,word,everyone
36058,office,trip
37846,hospital,including
24046,about,remember
713,budget,company
30121,chance,they
34990,four,face
54010,increase,any
48179,national,major
22193,describe,moment
28525,leave,trade
19000,form,turn
74016,reduce,happy
15173,attention,north
60929,shoulder,manager
18712,team,toward
52653,fine,believe
36333,magazine,market
24283,change,open
76591,learn,current
85260,game,finish
35927,blood,blue
82211,never,between
25218,before,sell
40257,determine,talk
12021,lot,education
37971,color,foreign
5569,identify,pass
39326,visit,star
57637,understand,bit
45816,kind,book
27463,at,better
91397,clearly,trip
24791,know,opportunity
45231,feel,show
81576,ten,television
51422,risk,stand
22010,cold,information
26785,also,force
92910,film,growth
41257,outside,describe
29946,instead,continue
32179,church,PM
72391,none,industry
66423,at,watch
98232,herself,surface
42881,where,crime
84096,fight,camera
82014,begin,form
40403,wear,early
72741,listen,consider
25654,own,general
28281,each,important
73685,hand,business
93436,speak,ten
54767,industry,in
77022,exist,partner
20556,travel,act
16909,join,never
99925,garden,require
75419,section,son
11063,situation,style
22674,ask,role
73556,free,easy
30641,lose,open
78234,party,win
29099,condition,work
61114,prepare,bad
36416,series,level
48880,thus,structure
30921,me,seek
27600,sit,wall
4494,ask,how
18979,effort,dark
52149,offer,live
60437,event,five
23733,man,deal
82340,card,moment
21328,himself,myself
97097,staff,public
77725,gas,analysis
4725,student,try
37951,do,answer
29730,mission,seek
8710,wait,certain
25407,perhaps,recognize
74458,source,here
73197,rate,tend
87863,behind,rate
83230,sometimes,ago
84631,attention,police
98497,television,sister
44725,machine,view
46363,so,open
3766,none,anything
71079,have,daughter
72680,threat,however
75,party,character
85459,nature,growth
94424,decade,marriage
26712,final,man
70476,oil,each
28797,number,happen
13209,should,theory
10213,crime,from
359,unit,little
89443,respond,night
94258,they,hit
37712,yeah,lot
27825,technology,court
37256,end,you
18241,high,decision
79641,return,where
58763,century,prevent
19670,world,it
20268,clear,majority
83369,once,discover
46776,know,woman
73061,either,hair
92319,meeting,method
65217,professor,make
41025,when,apply
32453,thing,least
6581,child,respond
29109,foreign,production
38195,land,movie
9813,population,computer
32560,thought,off
93265,him,service
76319,well,on
89467,physical,six
27787,either,recognize
83527,difficult,customer
69903,public,who
28401,town,door
98322,letter,be
61480,natural,least
63786,pretty,area
10573,contain,drive
83876,method,word
22840,now,city
60729,argue,authority
59997,reach,either
78416,watch,end
73056,customer,leave
23847,house,note
53510,throughout,attack
99459,there,attack
31320,Congress,role
90478,middle,billion
73633,almost,data
37778,box,style
6843,center,stock
43844,east,reach
48206,film,list
17923,goal,source
91860,answer,remain
79531,after,wrong
79218,majority,assume
35435,dinner,stand
51516,goal,ready
71586,hair,establish
13689,read,perform
21856,poor,behind
52981,week,reveal
70368,federal,parent
33340,discover,another
14694,save,author
80053,short,seven
98021,mean,remember
79050,mean,simply
2313,father,so
41690,may,talk
57783,practice,small
28072,place,nor
40351,face,heart
2558,police,source
89512,officer,could
51772,letter,go
868,news,view
6730,protect,present
79367,technology,upon
25350,same,former
77707,center,off
64995,these,none
12291,color,that
13579,example,question
88406,box,field
18359,each,change
50153,offer,record
16384,phone,true
78168,close,indicate
68938,forward,check
61590,send,put
461,section,art
69597,various,already
40587,behind,different
6494,wait,forget
78947,stay,task
18544,type,possible
13289,four,six
87228,speak,increase
65686,image,wife
89246,writer,artist
17368,thus,car
7959,both,avoid
8663,Congress,population
63769,book,as
86067,point,artist
26754,measure,recently
74148,level,example
86055,heavy,strategy
75227,cause,local
1677,financial,school
91691,source,soon
97534,form,husband
45068,go,their
13663,attention,security
69940,near,hope
88113,best,exist
69114,age,instead
66964,instead,political
7604,time,money
20921,ability,sound
43698,simple,expect
27707,trip,right
22399,ago,computer
12624,charge,wall
10271,like,ball
97868,ability,easy
3480,nature,attention
99246,order,most
29619,firm,there
76140,rate,and
24577,among,believe
70044,believe,growth
16230,choose,good
49013,from,contain
25427,week,parent
33812,identify,significant
75535,history,business
75526,very,already
98205,close,significant
20146,remember,full
35345,theory,cell
46728,either,manager
20043,per,important
211,language,traditional
6222,me,test
71661,purpose,and
90682,recent,pattern
64857,so,including
96849,television,yard
98149,land,life
20069,leg,least
69610,industry,though
95419,assume,that
99406,civil,big
4639,beautiful,himself
35630,court,see
22169,close,choose
30444,voice,agreement
27129,bank,reason
50049,though,treat
27576,lead,company
85977,begin,like
55593,would,pay
86892,past,rock
24004,high,score
92294,every,brother
91412,car,get
23036,early,behavior
59140,bill,look
25778,spend,wall
2640,several,above
73577,front,collection
65477,assume,attention
14710,summer,one
21238,energy,base
46889,garden,industry
546,mention,daughter
90341,live,understand
90195,heavy,Democrat
54002,yourself,voice
22391,opportunity,win
38011,collection,his
58015,environmental,rest
36777,condition,within
85345,we,property
99890,base,area
51866,only,because
74071,science,find
312,third,class
84623,understand,south
72512,history,most
21405,admit,seem
82476,support,card
84635,seem,tonight
29915,could,size
24487,us,another
53495,amount,structure
2819,level,instead
31073,movie,buy
93775,bag,note
45437,concern,wait
4287,six,time
64625,almost,action
80916,doctor,without
72847,child,actually
31668,professor,consider
98416,something,drive
59914,suggest,public
1109,Congress,season
26090,owner,dog
66316,trouble,use
89567,peace,message
59161,financial,huge
13279,discover,organization
75351,fire,relationship
98944,person,far
17352,marriage,usually
26400,matter,production
59726,fast,sense
74441,born,one
63598,bar,chance
38425,protect,southern
46220,rule,camera
37881,benefit,understand
62472,college,him
70517,process,drug
60502,current,teach
71639,white,prevent
7574,worker,how
1741,special,positive
99650,age,possible
67368,region,cold
37399,back,detail
59850,green,the
97258,thank,enter
67930,each,system
41826,indicate,tonight
414,degree,soon
22134,process,student
16905,blue,green
23795,like,little
33489,foot,test
77687,within,eye
86871,usually,young
33096,from,our
89938,skill,over
55193,value,home
61036,agent,answer
96953,leg,long
4554,floor,real
75289,treat,thousand
80460,suffer,new
62651,around,movie
77066,book,onto
49755,well,better
9604,dark,purpose
99212,help,situation
52690,government,car
87767,resource,figure
50041,after,head
28194,under,relationship
15347,show,century
72994,religious,general
41124,foreign,citizen
34248,minute,team
59800,without,whatever
51695,ground,option
26871,condition,score
89386,seven,order
29721,author,maintain
93919,interview,enter
95704,sit,professor
80996,career,continue
35770,eye,similar
18997,then,price
29547,fire,themselves
34368,debate,pattern
10755,although,tree
