id_tarea,fecha_inicio,RelacionDependencia,FuncionDesempeñada,institucion
1912058,1978-10-29,ball,Wellsite geologist,6123971124654
3044441,2017-10-07,career,"Surveyor, rural practice",4031028929068
8335664,1986-06-24,help,Market researcher,7632675225349
7837354,1978-10-17,election,Amenity horticulturist,4151391703247
40355,1985-11-14,tonight,Air broker,9540276843775
6639535,2002-08-26,professor,"Development worker, international aid",9693253350139
4750867,2008-05-20,admit,Fitness centre manager,7569480488024
9355606,2003-02-25,road,Landscape architect,7406180271235
828221,1996-01-26,indeed,"Presenter, broadcasting",3263323200361
4759549,1974-12-01,easy,Clothing/textile technologist,1635978800744
9521544,1978-11-12,writer,"Development worker, community",8681167160658
2433486,2011-08-05,next,Toxicologist,3011222957667
5607339,2015-09-04,gas,Radio broadcast assistant,253643214735
2960988,1971-02-27,produce,Physiological scientist,6067783990103
85815,2006-11-01,sign,Personal assistant,654630519068
7382452,2000-11-02,music,Hotel manager,6322170471910
5113863,2003-08-28,land,Landscape architect,4121022463359
6976207,2001-05-04,to,Accommodation manager,5194652194606
5314195,1981-07-26,my,"Designer, television/film set",8710714608235
8965182,1984-12-15,bring,Chartered accountant,3072755935417
9631416,1973-01-13,old,Special educational needs teacher,92776515137
3518415,2022-02-03,tend,Operational researcher,8248054334152
3265224,2001-01-27,message,Database administrator,5458260273981
9973060,2017-05-21,thus,Osteopath,7138734228749
6334610,1985-09-14,recent,Ergonomist,5187989830136
2054616,1986-06-26,support,"Surveyor, quantity",3814152805318
6500554,1995-05-28,against,Contracting civil engineer,3531327595232
7489486,1977-06-23,oil,Personal assistant,9956695840819
1879708,2021-02-15,bring,Retail buyer,2896506993141
3762639,1997-08-29,down,Dispensing optician,1517249376698
9257751,1982-01-17,note,Academic librarian,5937974291875
5792399,1978-06-08,tax,Archaeologist,4670783627127
6121557,2019-04-07,only,Sports administrator,8396884742604
1736314,1978-04-16,rate,Commercial horticulturist,6333106210207
2034480,2013-05-08,during,Orthoptist,4037083055905
2105000,1989-01-02,value,Warden/ranger,1988197608617
5840756,1976-01-26,four,Public relations account executive,1882781153415
9507843,2008-07-02,relate,"Research officer, trade union",4532358829401
9882194,1977-08-11,ever,Web designer,7163492824826
5634772,1980-09-07,because,Dance movement psychotherapist,8383192806644
7562950,2023-05-04,too,Nutritional therapist,6914310681726
3231097,2006-07-23,church,Dancer,2155996163123
5360512,1983-09-08,happen,Community pharmacist,4409533020954
4915076,1999-09-25,important,"Scientist, physiological",5848221945249
3618996,1991-06-19,just,Commercial/residential surveyor,8285195810946
3384272,2015-02-16,civil,Geoscientist,6162652332912
5311543,2011-10-23,husband,"Engineer, communications",4715826103325
2152191,1979-10-14,office,Quality manager,8018554046352
4815836,1978-05-25,this,Neurosurgeon,1458495798589
588535,1982-08-28,scene,Holiday representative,9968744389010
2506592,1997-03-21,serve,Accounting technician,478076880208
4382481,1987-06-26,seek,"Scientist, biomedical",6160549596419
6157452,2014-04-25,design,Adult nurse,823503605150
2674216,2003-03-06,land,Financial risk analyst,5811900312484
6172699,2001-05-28,yeah,Ceramics designer,6865052672144
1097417,1980-07-07,throughout,International aid/development worker,5914811826719
32289,2013-08-02,individual,Technical author,2201403711365
6441637,2014-08-20,bed,"Therapist, horticultural",406860775298
6090044,2002-09-26,window,Acupuncturist,9617724132074
7241488,1988-06-04,keep,Commercial horticulturist,7803619257496
7336686,1975-07-04,since,Armed forces training and education officer,5637949829531
9522222,1971-05-26,campaign,"Accountant, chartered certified",9705259231306
5454484,1971-03-21,management,Adult nurse,4974648274012
1147639,2013-08-28,half,Geophysicist/field seismologist,3986790698664
3205367,2002-05-27,standard,"Sales professional, IT",7357663278897
720313,2000-07-25,much,Armed forces technical officer,3544887840745
1020770,1986-11-25,tax,Plant breeder/geneticist,1895574403038
394747,2009-08-25,rule,Cabin crew,6424601614895
6457318,2024-04-03,simply,Agricultural consultant,2193200104643
9099279,1971-07-05,voice,"Research officer, government",1447283195385
9147243,1970-11-23,discover,Technical author,7854669043492
2975173,2018-07-29,my,"Pharmacist, community",7311392000266
2814452,1990-03-13,near,Interior and spatial designer,6844302539498
997035,1971-07-01,without,Commercial/residential surveyor,1606209450258
9599198,1997-03-23,store,"Surveyor, minerals",3362443187757
7081993,1984-01-11,body,Graphic designer,3177365948735
3191238,1990-07-26,drug,"Lighting technician, broadcasting/film/video",4672088049430
3323959,1984-04-21,front,"Designer, interior/spatial",7880392959335
6287327,2016-05-31,room,Retail buyer,4408295303180
143898,1991-07-08,city,"Programmer, systems",8497186665528
8388430,1992-08-01,oil,Animal nutritionist,6521673599175
6617809,1995-10-01,indicate,Commercial art gallery manager,1316937975692
5504657,1988-10-14,country,Database administrator,3493560349826
1338720,2018-07-18,crime,Catering manager,6958800204609
